cp,city,age,year,total
50013,Alcalá de Ebro,2 años,2016,2
50013,Alcalá de Ebro,3 años,2016,4
50013,Alcalá de Ebro,4 años,2016,4
50013,Alcalá de Ebro,5 años,2016,0.0
50013,Alcalá de Ebro,6 años,2016,5
50013,Alcalá de Ebro,7 años,2016,1
50013,Alcalá de Ebro,8 años,2016,2
50013,Alcalá de Ebro,9 años,2016,1
50013,Alcalá de Ebro,10 años,2016,6
50013,Alcalá de Ebro,11 años,2016,1
50013,Alcalá de Ebro,12 años,2016,0.0
50013,Alcalá de Ebro,13 años,2016,5
50013,Alcalá de Ebro,14 años,2016,0.0
50013,Alcalá de Ebro,15 años,2016,1
50013,Alcalá de Ebro,16 años,2016,1
50013,Alcalá de Ebro,17 años,2016,1
50013,Alcalá de Ebro,18 años,2016,4
50014,Alcalá de Moncayo,0 años,2016,0.0
50014,Alcalá de Moncayo,1 año,2016,0.0
50014,Alcalá de Moncayo,2 años,2016,1
50014,Alcalá de Moncayo,3 años,2016,1
50014,Alcalá de Moncayo,4 años,2016,2
50014,Alcalá de Moncayo,5 años,2016,3
50014,Alcalá de Moncayo,6 años,2016,1
50014,Alcalá de Moncayo,7 años,2016,3
50014,Alcalá de Moncayo,8 años,2016,2
50014,Alcalá de Moncayo,9 años,2016,1
50014,Alcalá de Moncayo,10 años,2016,0.0
50014,Alcalá de Moncayo,11 años,2016,1
50014,Alcalá de Moncayo,12 años,2016,3
50014,Alcalá de Moncayo,13 años,2016,1
50014,Alcalá de Moncayo,14 años,2016,0.0
50014,Alcalá de Moncayo,15 años,2016,0.0
50014,Alcalá de Moncayo,16 años,2016,1
50014,Alcalá de Moncayo,17 años,2016,1
50014,Alcalá de Moncayo,18 años,2016,0.0
50015,Alconchel de Ariza,0 años,2016,0.0
50015,Alconchel de Ariza,1 año,2016,0.0
50015,Alconchel de Ariza,2 años,2016,0.0
50015,Alconchel de Ariza,3 años,2016,0.0
50015,Alconchel de Ariza,4 años,2016,0.0
50015,Alconchel de Ariza,5 años,2016,0.0
50015,Alconchel de Ariza,6 años,2016,0.0
50015,Alconchel de Ariza,7 años,2016,0.0
50015,Alconchel de Ariza,8 años,2016,0.0
50015,Alconchel de Ariza,9 años,2016,0.0
50015,Alconchel de Ariza,10 años,2016,0.0
50015,Alconchel de Ariza,11 años,2016,0.0
50015,Alconchel de Ariza,12 años,2016,0.0
50015,Alconchel de Ariza,13 años,2016,0.0
50015,Alconchel de Ariza,14 años,2016,0.0
50015,Alconchel de Ariza,15 años,2016,0.0
50015,Alconchel de Ariza,16 años,2016,0.0
50015,Alconchel de Ariza,17 años,2016,0.0
50015,Alconchel de Ariza,18 años,2016,0.0
50016,Aldehuela de Liestos,0 años,2016,0.0
50016,Aldehuela de Liestos,1 año,2016,0.0
50016,Aldehuela de Liestos,2 años,2016,0.0
50016,Aldehuela de Liestos,3 años,2016,0.0
50016,Aldehuela de Liestos,4 años,2016,0.0
50016,Aldehuela de Liestos,5 años,2016,0.0
50016,Aldehuela de Liestos,6 años,2016,0.0
50016,Aldehuela de Liestos,7 años,2016,0.0
50016,Aldehuela de Liestos,8 años,2016,0.0
50016,Aldehuela de Liestos,9 años,2016,0.0
50016,Aldehuela de Liestos,10 años,2016,0.0
50016,Aldehuela de Liestos,11 años,2016,0.0
50016,Aldehuela de Liestos,12 años,2016,0.0
50016,Aldehuela de Liestos,13 años,2016,0.0
50016,Aldehuela de Liestos,14 años,2016,0.0
50016,Aldehuela de Liestos,15 años,2016,0.0
50016,Aldehuela de Liestos,16 años,2016,0.0
50016,Aldehuela de Liestos,17 años,2016,0.0
50016,Aldehuela de Liestos,18 años,2016,0.0
50017,Alfajarín,0 años,2016,19
50017,Alfajarín,1 año,2016,19
50017,Alfajarín,2 años,2016,30
50017,Alfajarín,3 años,2016,24
50017,Alfajarín,4 años,2016,20
50017,Alfajarín,5 años,2016,32
50017,Alfajarín,6 años,2016,34
50017,Alfajarín,7 años,2016,32
50017,Alfajarín,8 años,2016,27
50017,Alfajarín,9 años,2016,24
50017,Alfajarín,10 años,2016,25
50017,Alfajarín,11 años,2016,23
50017,Alfajarín,12 años,2016,33
50017,Alfajarín,13 años,2016,14
50017,Alfajarín,14 años,2016,23
50017,Alfajarín,15 años,2016,22
50017,Alfajarín,16 años,2016,14
50017,Alfajarín,17 años,2016,22
50017,Alfajarín,18 años,2016,22
50018,Alfamén,0 años,2016,11
50018,Alfamén,1 año,2016,13
50018,Alfamén,2 años,2016,4
50018,Alfamén,3 años,2016,8
50018,Alfamén,4 años,2016,18
50018,Alfamén,5 años,2016,12
50018,Alfamén,6 años,2016,16
50018,Alfamén,7 años,2016,18
50018,Alfamén,8 años,2016,9
50018,Alfamén,9 años,2016,12
50018,Alfamén,10 años,2016,10
50018,Alfamén,11 años,2016,11
50018,Alfamén,12 años,2016,15
50018,Alfamén,13 años,2016,14
50018,Alfamén,14 años,2016,11
50018,Alfamén,15 años,2016,18
50018,Alfamén,16 años,2016,10
50018,Alfamén,17 años,2016,10
50018,Alfamén,18 años,2016,5
50019,Alforque,0 años,2016,0.0
50019,Alforque,1 año,2016,0.0
50019,Alforque,2 años,2016,0.0
50019,Alforque,3 años,2016,0.0
50019,Alforque,4 años,2016,0.0
50019,Alforque,5 años,2016,0.0
50019,Alforque,6 años,2016,0.0
50019,Alforque,7 años,2016,1
50019,Alforque,8 años,2016,0.0
50019,Alforque,9 años,2016,0.0
50019,Alforque,10 años,2016,0.0
50019,Alforque,11 años,2016,1
50019,Alforque,12 años,2016,0.0
50019,Alforque,13 años,2016,1
50019,Alforque,14 años,2016,0.0
50019,Alforque,15 años,2016,0.0
50019,Alforque,16 años,2016,0.0
50019,Alforque,17 años,2016,0.0
50019,Alforque,18 años,2016,0.0
50020,Alhama de Aragón,0 años,2016,4
50020,Alhama de Aragón,1 año,2016,12
50020,Alhama de Aragón,2 años,2016,6
50020,Alhama de Aragón,3 años,2016,8
50020,Alhama de Aragón,4 años,2016,10
50020,Alhama de Aragón,5 años,2016,9
50020,Alhama de Aragón,6 años,2016,6
50020,Alhama de Aragón,7 años,2016,10
50020,Alhama de Aragón,8 años,2016,8
50020,Alhama de Aragón,9 años,2016,15
50020,Alhama de Aragón,10 años,2016,4
50020,Alhama de Aragón,11 años,2016,7
50020,Alhama de Aragón,12 años,2016,13
50020,Alhama de Aragón,13 años,2016,11
50020,Alhama de Aragón,14 años,2016,4
50020,Alhama de Aragón,15 años,2016,15
50020,Alhama de Aragón,16 años,2016,8
50020,Alhama de Aragón,17 años,2016,10
