cp,city,age,year,total
44014,Alcorisa,7 años,2020,26
44014,Alcorisa,8 años,2020,34
44014,Alcorisa,9 años,2020,38
44014,Alcorisa,10 años,2020,38
44014,Alcorisa,11 años,2020,43
44014,Alcorisa,12 años,2020,32
44014,Alcorisa,13 años,2020,31
44014,Alcorisa,14 años,2020,31
44014,Alcorisa,15 años,2020,36
44014,Alcorisa,16 años,2020,35
44014,Alcorisa,17 años,2020,28
44014,Alcorisa,18 años,2020,41
44016,Alfambra,0 años,2020,3
44016,Alfambra,1 año,2020,1
44016,Alfambra,2 años,2020,1
44016,Alfambra,3 años,2020,2
44016,Alfambra,4 años,2020,2
44016,Alfambra,5 años,2020,2
44016,Alfambra,6 años,2020,1
44016,Alfambra,7 años,2020,4
44016,Alfambra,8 años,2020,2
44016,Alfambra,9 años,2020,3
44016,Alfambra,10 años,2020,0.0
44016,Alfambra,11 años,2020,7
44016,Alfambra,12 años,2020,2
44016,Alfambra,13 años,2020,3
44016,Alfambra,14 años,2020,1
44016,Alfambra,15 años,2020,3
44016,Alfambra,16 años,2020,5
44016,Alfambra,17 años,2020,0.0
44016,Alfambra,18 años,2020,1
44017,Aliaga,0 años,2020,1
44017,Aliaga,1 año,2020,2
44017,Aliaga,2 años,2020,2
44017,Aliaga,3 años,2020,4
44017,Aliaga,4 años,2020,1
44017,Aliaga,5 años,2020,1
44017,Aliaga,6 años,2020,3
44017,Aliaga,7 años,2020,2
44017,Aliaga,8 años,2020,1
44017,Aliaga,9 años,2020,5
44017,Aliaga,10 años,2020,1
44017,Aliaga,11 años,2020,3
44017,Aliaga,12 años,2020,3
44017,Aliaga,13 años,2020,2
44017,Aliaga,14 años,2020,3
44017,Aliaga,15 años,2020,0.0
44017,Aliaga,16 años,2020,1
44017,Aliaga,17 años,2020,3
44017,Aliaga,18 años,2020,4
44018,Almohaja,0 años,2020,0.0
44018,Almohaja,1 año,2020,0.0
44018,Almohaja,2 años,2020,0.0
44018,Almohaja,3 años,2020,0.0
44018,Almohaja,4 años,2020,0.0
44018,Almohaja,5 años,2020,0.0
44018,Almohaja,6 años,2020,0.0
44018,Almohaja,7 años,2020,0.0
44018,Almohaja,8 años,2020,0.0
44018,Almohaja,9 años,2020,0.0
44018,Almohaja,10 años,2020,0.0
44018,Almohaja,11 años,2020,0.0
44018,Almohaja,12 años,2020,0.0
44018,Almohaja,13 años,2020,0.0
44018,Almohaja,14 años,2020,0.0
44018,Almohaja,15 años,2020,0.0
44018,Almohaja,16 años,2020,0.0
44018,Almohaja,17 años,2020,0.0
44018,Almohaja,18 años,2020,0.0
44019,Alobras,0 años,2020,0.0
44019,Alobras,1 año,2020,0.0
44019,Alobras,2 años,2020,0.0
44019,Alobras,3 años,2020,0.0
44019,Alobras,4 años,2020,0.0
44019,Alobras,5 años,2020,0.0
44019,Alobras,6 años,2020,0.0
44019,Alobras,7 años,2020,0.0
44019,Alobras,8 años,2020,0.0
44019,Alobras,9 años,2020,0.0
44019,Alobras,10 años,2020,0.0
44019,Alobras,11 años,2020,0.0
44019,Alobras,12 años,2020,0.0
44019,Alobras,13 años,2020,0.0
44019,Alobras,14 años,2020,0.0
44019,Alobras,15 años,2020,0.0
44019,Alobras,16 años,2020,0.0
44019,Alobras,17 años,2020,0.0
44019,Alobras,18 años,2020,0.0
44020,Alpeñés,0 años,2020,0.0
44020,Alpeñés,1 año,2020,0.0
44020,Alpeñés,2 años,2020,0.0
44020,Alpeñés,3 años,2020,0.0
44020,Alpeñés,4 años,2020,0.0
44020,Alpeñés,5 años,2020,0.0
44020,Alpeñés,6 años,2020,0.0
44020,Alpeñés,7 años,2020,0.0
44020,Alpeñés,8 años,2020,0.0
44020,Alpeñés,9 años,2020,0.0
44020,Alpeñés,10 años,2020,0.0
44020,Alpeñés,11 años,2020,0.0
44020,Alpeñés,12 años,2020,0.0
44020,Alpeñés,13 años,2020,0.0
44020,Alpeñés,14 años,2020,0.0
44020,Alpeñés,15 años,2020,0.0
44020,Alpeñés,16 años,2020,0.0
44020,Alpeñés,17 años,2020,0.0
44020,Alpeñés,18 años,2020,0.0
44021,Allepuz,0 años,2020,0.0
44021,Allepuz,1 año,2020,2
44021,Allepuz,2 años,2020,0.0
44021,Allepuz,3 años,2020,3
44021,Allepuz,4 años,2020,0.0
44021,Allepuz,5 años,2020,1
44021,Allepuz,6 años,2020,0.0
44021,Allepuz,7 años,2020,2
44021,Allepuz,8 años,2020,1
44021,Allepuz,9 años,2020,0.0
44021,Allepuz,10 años,2020,0.0
44021,Allepuz,11 años,2020,2
44021,Allepuz,12 años,2020,1
44021,Allepuz,13 años,2020,1
44021,Allepuz,14 años,2020,1
44021,Allepuz,15 años,2020,0.0
44021,Allepuz,16 años,2020,1
44021,Allepuz,17 años,2020,1
44021,Allepuz,18 años,2020,1
44022,Alloza,0 años,2020,4
44022,Alloza,1 año,2020,8
44022,Alloza,2 años,2020,3
44022,Alloza,3 años,2020,5
44022,Alloza,4 años,2020,2
44022,Alloza,5 años,2020,5
44022,Alloza,6 años,2020,2
44022,Alloza,7 años,2020,4
44022,Alloza,8 años,2020,2
44022,Alloza,9 años,2020,6
44022,Alloza,10 años,2020,5
44022,Alloza,11 años,2020,5
44022,Alloza,12 años,2020,3
44022,Alloza,13 años,2020,5
44022,Alloza,14 años,2020,6
44022,Alloza,15 años,2020,1
44022,Alloza,16 años,2020,4
44022,Alloza,17 años,2020,3
44022,Alloza,18 años,2020,3
44023,Allueva,0 años,2020,0.0
44023,Allueva,1 año,2020,0.0
44023,Allueva,2 años,2020,0.0
44023,Allueva,3 años,2020,0.0
