name,age,year,total
Arándiga,65-100,2016,145
Arándiga,0-18,2017,25
Arándiga,18-40,2017,53
Arándiga,40-65,2017,96
Arándiga,65-100,2017,134
Arándiga,0-18,2018,25
Arándiga,18-40,2018,58
Arándiga,40-65,2018,98
Arándiga,65-100,2018,128
Arándiga,0-18,2019,27
Arándiga,18-40,2019,52
Arándiga,40-65,2019,101
Arándiga,65-100,2019,122
Arándiga,0-18,2020,22
Arándiga,18-40,2020,47
Arándiga,40-65,2020,95
Arándiga,65-100,2020,114
Ardisa,0-18,2015,2
Ardisa,18-40,2015,11
Ardisa,40-65,2015,31
Ardisa,65-100,2015,30
Ardisa,0-18,2016,3
Ardisa,18-40,2016,11
Ardisa,40-65,2016,26
Ardisa,65-100,2016,32
Ardisa,0-18,2017,3
Ardisa,18-40,2017,8
Ardisa,40-65,2017,27
Ardisa,65-100,2017,34
Ardisa,0-18,2018,1
Ardisa,18-40,2018,7
Ardisa,40-65,2018,27
Ardisa,65-100,2018,37
Ardisa,0-18,2019,1
Ardisa,18-40,2019,6
Ardisa,40-65,2019,27
Ardisa,65-100,2019,36
Ardisa,0-18,2020,1
Ardisa,18-40,2020,7
Ardisa,40-65,2020,32
Ardisa,65-100,2020,34
Ariza,0-18,2015,224
Ariza,18-40,2015,321
Ariza,40-65,2015,494
Ariza,65-100,2015,530
Ariza,0-18,2016,211
Ariza,18-40,2016,292
Ariza,40-65,2016,475
Ariza,65-100,2016,516
Ariza,0-18,2017,215
Ariza,18-40,2017,286
Ariza,40-65,2017,476
Ariza,65-100,2017,496
Ariza,0-18,2018,226
Ariza,18-40,2018,283
Ariza,40-65,2018,491
Ariza,65-100,2018,471
Ariza,0-18,2019,206
Ariza,18-40,2019,273
Ariza,40-65,2019,485
Ariza,65-100,2019,471
Ariza,0-18,2020,209
Ariza,18-40,2020,269
Ariza,40-65,2020,498
Ariza,65-100,2020,445
Artieda,0-18,2015,8
Artieda,18-40,2015,24
Artieda,40-65,2015,25
Artieda,65-100,2015,24
Artieda,0-18,2016,7
Artieda,18-40,2016,22
Artieda,40-65,2016,24
Artieda,65-100,2016,26
Artieda,0-18,2017,7
Artieda,18-40,2017,20
Artieda,40-65,2017,22
Artieda,65-100,2017,26
Artieda,0-18,2018,7
Artieda,18-40,2018,21
Artieda,40-65,2018,22
Artieda,65-100,2018,23
Artieda,0-18,2019,7
Artieda,18-40,2019,25
Artieda,40-65,2019,25
Artieda,65-100,2019,23
Artieda,0-18,2020,6
Artieda,18-40,2020,26
Artieda,40-65,2020,25
Artieda,65-100,2020,23
Asín,0-18,2015,1
Asín,18-40,2015,23
Asín,40-65,2015,43
Asín,65-100,2015,37
Asín,0-18,2016,1
Asín,18-40,2016,23
Asín,40-65,2016,42
Asín,65-100,2016,40
Asín,0-18,2017,1
Asín,18-40,2017,22
Asín,40-65,2017,40
Asín,65-100,2017,39
Asín,0-18,2018,1
Asín,18-40,2018,21
Asín,40-65,2018,38
Asín,65-100,2018,36
Asín,0-18,2019,5
Asín,18-40,2019,22
Asín,40-65,2019,40
Asín,65-100,2019,43
