nombre,provincia,slug,codigoINE,poblacion1900,poblacion2024,poblacion2014,variacion1900,perdidaAbsoluta,perdidaPorcentual,varUltimosAnios,porcentajeMayores,porcentajeMenores,densidad
Azaila,teruel,azaila,44031,742,95,0,-87.1967654986523,647,87.1967654986523,0,38.7,8.6,0
Antillón,huesca,antillon,22029,393,126,0,-67.93893129770993,267,67.93893129770993,0,38.6,9.4,0
Belmonte de San José,teruel,belmonte-de-san-jose,44038,817,135,0,-83.47613219094248,682,83.47613219094248,0,38.5,10.4,0
Bisimbre,zaragoza,bisimbre,50052,291,91,0,-68.72852233676976,200,68.72852233676976,0,38.5,3.3,0
Oliete,teruel,oliete,44172,2146,367,0,-82.89841565703635,1779,82.89841565703635,0,38.5,9.2,0
Torralba de Ribota,zaragoza,torralba-de-ribota,50257,654,169,0,-74.15902140672783,485,74.15902140672783,0,38.5,1.8,0
Castejón de Valdejasa,zaragoza,castejon-de-valdejasa,50077,1095,198,0,-81.91780821917808,897,81.91780821917808,0,38.4,4.5,0
Fuentes Calientes,teruel,fuentes-calientes,44111,243,82,0,-66.2551440329218,161,66.2551440329218,0,38.4,5.8,0
Alfambra,teruel,alfambra,44016,1355,487,0,-64.0590405904059,868,64.0590405904059,0,38.3,9.1,0
Escorihuela,teruel,escorihuela,44097,493,141,0,-71.39959432048681,352,71.39959432048681,0,38.3,7.8,0
Moros,zaragoza,moros,50178,1209,269,0,-77.75020678246484,940,77.75020678246484,0,38.3,1.5,0
Tabuenca,zaragoza,tabuenca,50249,1379,311,0,-77.44742567077593,1068,77.44742567077593,0,38.3,5.1,0
Tronchón,teruel,tronchon,44236,997,60,0,-93.98194583751254,937,93.98194583751254,0,38.3,3.3,0
Castejón de Monegros,huesca,castejon-de-monegros,22083,1594,468,0,-70.63989962358845,1126,70.63989962358845,0,38.2,5.3,0
Campillo de Aragón,zaragoza,campillo-de-aragon,50071,701,112,0,-84.0228245363766,589,84.0228245363766,0,38.1,1.8,0
Canal de Berdún,huesca,canal-de-berdun,22076,2022,330,0,-83.67952522255193,1692,83.67952522255193,0,38.1,6.9,0
Sangarrén,huesca,sangarren,22206,509,221,0,-56.581532416502945,288,56.581532416502945,0,38.1,8.5,0
Santaliestra y San Quílez,huesca,santaliestra-y-san-quilez,22212,366,83,0,-77.3224043715847,283,77.3224043715847,0,38.1,7.1,0
Bisaurri,huesca,bisaurri,22062,813,179,0,-77.98277982779828,634,77.98277982779828,0,38,6.1,0
Cucalón,teruel,cucalon,44090,525,79,0,-84.95238095238096,446,84.95238095238096,0,38,6.3,0
Letux,zaragoza,letux,50139,1074,356,0,-66.85288640595903,718,66.85288640595903,0,38,3.9,0
Bardallur,zaragoza,bardallur,50044,834,228,0,-72.66187050359713,606,72.66187050359713,0,37.9,6.2,0
Villar del Cobo,teruel,villar-del-cobo,44257,596,162,0,-72.81879194630872,434,72.81879194630872,0,37.9,5,0
Cubel,zaragoza,cubel,50090,505,143,0,-71.68316831683168,362,71.68316831683168,0,37.8,9.8,0
Alforque,zaragoza,alforque,50019,387,61,0,-84.23772609819122,326,84.23772609819122,0,37.7,0,0
Lagueruela,teruel,lagueruela,44132,252,71,0,-71.82539682539682,181,71.82539682539682,0,37.7,8.7,0
Bello,teruel,bello,44039,989,213,0,-78.46309403437816,776,78.46309403437816,0,37.6,7,0
Farlete,zaragoza,farlete,50104,524,394,0,-24.80916030534351,130,24.80916030534351,0,37.6,5.3,0
Marracos,zaragoza,marracos,50902,154,85,0,-44.8051948051948,69,44.8051948051948,0,37.6,3.5,0
Lidón,teruel,lidon,44136,308,56,0,-81.81818181818183,252,81.81818181818183,0,37.5,0,0
Sediles,zaragoza,sediles,50242,311,111,0,-64.30868167202573,200,64.30868167202573,0,37.5,9.8,0
Murero,zaragoza,murero,50184,519,92,0,-82.27360308285164,427,82.27360308285164,0,37,2.2,0
Ráfales,teruel,rafales,44194,859,149,0,-82.65424912689173,710,82.65424912689173,0,37,16.9,0
Valbona,teruel,valbona,44240,675,192,0,-71.55555555555554,483,71.55555555555554,0,37,6.3,0
Villar del Salz,teruel,villar-del-salz,44258,412,53,0,-87.13592233009709,359,87.13592233009709,0,37,3.7,0
Acered,zaragoza,acered,50002,745,141,0,-81.0738255033557,604,81.0738255033557,0,36.9,7.1,0
Urrea de Gaén,teruel,urrea-de-gaen,44237,1195,440,0,-63.17991631799163,755,63.17991631799163,0,36.9,9.6,0
Villalba de Perejil,zaragoza,villalba-de-perejil,50286,266,84,0,-68.42105263157895,182,68.42105263157895,0,36.9,11.9,0
