Sexo,Municipios,Edad (año a año),Periodo,Total
Total,44028 Argente,23 años,2017,1
Total,44028 Argente,24 años,2017,1
Total,44028 Argente,25 años,2017,0
Total,44028 Argente,26 años,2017,0
Total,44028 Argente,27 años,2017,1
Total,44028 Argente,28 años,2017,3
Total,44028 Argente,29 años,2017,1
Total,44028 Argente,30 años,2017,1
Total,44028 Argente,31 años,2017,3
Total,44028 Argente,32 años,2017,1
Total,44028 Argente,33 años,2017,3
Total,44028 Argente,34 años,2017,1
Total,44028 Argente,35 años,2017,1
Total,44028 Argente,36 años,2017,0
Total,44028 Argente,37 años,2017,4
Total,44028 Argente,38 años,2017,1
Total,44028 Argente,39 años,2017,1
Total,44028 Argente,40 años,2017,3
Total,44029 Ariño,19 años,2017,10
Total,44029 Ariño,20 años,2017,8
Total,44029 Ariño,21 años,2017,4
Total,44029 Ariño,22 años,2017,8
Total,44029 Ariño,23 años,2017,16
Total,44029 Ariño,24 años,2017,7
Total,44029 Ariño,25 años,2017,7
Total,44029 Ariño,26 años,2017,6
Total,44029 Ariño,27 años,2017,9
Total,44029 Ariño,28 años,2017,12
Total,44029 Ariño,29 años,2017,5
Total,44029 Ariño,30 años,2017,5
Total,44029 Ariño,31 años,2017,8
Total,44029 Ariño,32 años,2017,4
Total,44029 Ariño,33 años,2017,5
Total,44029 Ariño,34 años,2017,8
Total,44029 Ariño,35 años,2017,6
Total,44029 Ariño,36 años,2017,8
Total,44029 Ariño,37 años,2017,10
Total,44029 Ariño,38 años,2017,10
Total,44029 Ariño,39 años,2017,14
Total,44029 Ariño,40 años,2017,11
Total,44031 Azaila,19 años,2017,0
Total,44031 Azaila,20 años,2017,1
Total,44031 Azaila,21 años,2017,0
Total,44031 Azaila,22 años,2017,1
Total,44031 Azaila,23 años,2017,2
Total,44031 Azaila,24 años,2017,1
Total,44031 Azaila,25 años,2017,0
Total,44031 Azaila,26 años,2017,0
Total,44031 Azaila,27 años,2017,0
Total,44031 Azaila,28 años,2017,0
Total,44031 Azaila,29 años,2017,0
Total,44031 Azaila,30 años,2017,1
Total,44031 Azaila,31 años,2017,0
Total,44031 Azaila,32 años,2017,0
Total,44031 Azaila,33 años,2017,1
Total,44031 Azaila,34 años,2017,0
Total,44031 Azaila,35 años,2017,0
Total,44031 Azaila,36 años,2017,0
Total,44031 Azaila,37 años,2017,0
Total,44031 Azaila,38 años,2017,0
Total,44031 Azaila,39 años,2017,1
Total,44031 Azaila,40 años,2017,1
Total,44032 Bádenas,19 años,2017,0
Total,44032 Bádenas,20 años,2017,0
Total,44032 Bádenas,21 años,2017,0
Total,44032 Bádenas,22 años,2017,0
Total,44032 Bádenas,23 años,2017,0
Total,44032 Bádenas,24 años,2017,0
Total,44032 Bádenas,25 años,2017,0
