cp,municipio,población,superficie,densidad
44204,Saldón,21,28.37,.74
44205,Samper de Calanda,725,142,5.10
44206,San Agustín,134,56.57,2.36
44207,San Martín del Río,135,5.42,24.90
44208,Santa Cruz de Nogueras,23,19.51,1.17
44209,Santa Eulalia,1017,80.97,12.56
44210,Sarrión,1197,140.44,8.52
44211,Segura de los Baños,42,54.15,.77
44212,Seno,41,17.85,2.29
44213,Singra,80,36.72,2.17
44215,Terriente,206,47.98,4.29
44216,Teruel,36267,440.41,82.34
44217,Toril y Masegoso,33,30.67,1.07
44218,Tormón,33,29.34,1.12
44219,Tornos,191,48.95,3.90
44220,Torralba de los Sisones,148,40.39,3.66
44221,Torrecilla de Alcañiz,440,26.76,16.44
44222,Torrecilla del Rebollar,125,26.76,4.67
44223,Torre de Arcas,82,34.28,2.39
44224,Torre de las Arcas,24,37.17,.64
44225,Torre del Compte,118,19.46,6.06
44226,Torrelacárcel,135,35.54,3.79
44227,Torre los Negros,76,29.15,2.60
44228,Torremocha de Jiloca,110,33.94,3.24
44229,Torres de Albarracín,191,28.31,6.74
44230,Torrevelilla,169,33.44,5.05
44231,Torrijas,36,57.34,.62
44232,Torrijo del Campo,502,44.04,11.39
44234,Tramacastiel,62,47.29,1.31
44235,Tramacastilla,109,24.81,4.39
44236,Tronchón,61,57.11,1.06
44237,Urrea de Gaén,447,41.12,10.87
44238,Utrillas,3088,39.82,77.54
44239,Valacloche,26,15.02,1.73
44240,Valbona,192,40.72,4.71
44241,Valdealgorfa,589,46.93,12.55
44243,Valdecuenca,31,18.64,1.66
44244,Valdelinares,80,55.09,1.45
44245,Valdeltormo,313,16,19.56
44246,Valderrobres,2517,124.04,20.29
44247,Valjunquera,331,41.84,7.91
44249,El Vallecillo,37,21.59,1.71
44250,Veguillas de la Sierra,20,13.67,1.46
44251,Villafranca del Campo,302,63.64,4.74
44252,Villahermosa del Campo,93,19,4.89
44256,Villanueva del Rebollar de la Sierra,44,75.99,.57
44257,Villar del Cobo,163,54.13,3.01
44258,Villar del Salz,59,38.69,1.52
44260,Villarluengo,181,157.89,1.14
44261,Villarquemado,865,56.43,15.32
44262,Villarroya de los Pinares,168,91,1.84
44263,Villastar,543,39.05,13.90
44264,Villel,326,85.38,3.81
44265,Vinaceite,200,50.07,3.99
44266,Visiedo,130,55.53,2.34
44267,Vivel del Río Martín,67,51.16,1.30
44268,La Zoma,27,14,1.92
50001,Abanto,86,63.84,1.34
50002,Acered,139,30,4.63
50003,Agón,134,18.52,7.23
50004,Aguarón,580,36.62,15.83
50005,Aguilón,268,59.45,4.50
50006,Ainzón,1055,40.46,26.07
50007,Aladrén,64,21.06,3.03
50008,Alagón,7257,24.22,299.62
50009,Alarba,94,19,4.94
50010,Alberite de San Juan,82,11.23,7.30
50011,Albeta,141,2.65,53.20
50012,Alborge,105,4.84,21.69
50013,Alcalá de Ebro,240,9.87,24.31
50014,Alcalá de Moncayo,151,13.76,10.97
50015,Alconchel de Ariza,76,34.85,2.18
50016,Aldehuela de Liestos,51,38.04,1.34
50017,Alfajarín,2439,137.57,17.72
50018,Alfamén,1472,102.04,14.42
50019,Alforque,65,10.62,6.12
50020,Alhama de Aragón,925,31.14,29.70
50021,Almochuel,20,32,.62
50022,Almolda La,548,131.33,4.17
50023,Almonacid de la Cuba,227,55.21,4.11
50024,Almonacid de la Sierra,775,55.21,14.03
50025,Almunia de Doña Godina La,7914,56.65,139.69
50026,Alpartir,570,32.54,17.51
50027,Ambel,248,61,4.06
50028,Anento,111,21.52,5.15
50029,Aniñón,676,52.46,12.88
50030,Añón de Moncayo,214,64.19,3.33
50031,Aranda de Moncayo,129,91,1.41
50032,Arándiga,266,50.22,5.29
50033,Ardisa,76,27.28,2.78
50034,Ariza,1059,103.08,10.27
50035,Artieda,80,13.57,5.89
50036,Asín,101,18.47,5.46
50037,Atea,137,34.67,3.95
50038,Ateca,1697,84.71,20.03
50039,Azuara,527,165.81,3.17
50040,Badules,75,20.09,3.73
50041,Bagüés,18,30.72,.58
50042,Balconchán,17,19,.89
50043,Bárboles,289,15.68,18.43
50044,Bardallur,232,27.34,8.48
50045,Belchite,1530,273.68,5.59
50046,Belmonte de Gracián,178,43.68,4.07
50047,Berdejo,37,19.39,1.90
50048,Berrueco,33,19,1.73
50050,Bijuesca,95,57.08,1.66
50051,Biota,855,128,6.67
50052,Bisimbre,84,11.22,7.48
50053,Boquiñeni,780,18.87,41.33
50054,Bordalba,49,41.58,1.17
50055,Borja,5076,107.29,47.31
50056,Botorrita,574,19.81,28.97
50057,Brea de Aragón,1522,13.38,113.75
50058,Bubierca,59,29.54,1.99
50059,Bujaraloz,967,120.92,7.99
50060,Bulbuente,242,25.44,9.51
50061,Bureta,212,11.91,17.80
50062,El Burgo de Ebro,2660,24.86,106.99
50063,El Buste,64,7.61,8.40
50064,Cabañas de Ebro,487,8.53,57.09
50065,Cabolafuente,46,39.24,1.17
50066,Cadrete,4486,11.86,378.24
50067,Calatayud,19677,154.25,127.56
50068,Calatorao,2889,48.15,60.00
50069,Calcena,75,64.74,1.15
50070,Calmarza,58,28.15,2.06
50071,Campillo de Aragón,119,36.86,3.22
50072,Carenas,186,31.22,5.95
50073,Cariñena,3397,82.51,41.17
50074,Caspe,10336,503.15,20.54
50075,Castejón de Alarba,89,17.56,5.06
50076,Castejón de las Armas,86,17.56,4.89
50077,Castejón de Valdejasa,202,17.56,11.50
50078,Castiliscar,217,40.68,5.33
50079,Cervera de la Cañada,272,29.22,9.30
50080,Cerveruela,37,23.49,1.57
50081,Cetina,564,78.76,7.16
50082,Cimballa,87,31.95,2.72
50083,Cinco Olivas,104,2.25,46.22
50084,Clarés de Ribota,74,18,4.11
50085,Codo,213,11.36,18.75
50086,Codos,228,62.69,3.63
50087,Contamina,38,14.02,2.71
50088,Cosuenda,335,31.68,10.57
50089,Cuarte de Huerva,14701,8.95,1642.56
50090,Cubel,148,58.62,2.52
50091,Las Cuerlas,41,32.58,1.25
50092,Chiprana,531,38.98,13.62
50093,Chodes,94,15.97,5.88
50094,Daroca,1957,52.05,37.59
50095,Ejea de los Caballeros,17135,609.92,28.09
50096,Embid de Ariza,31,41.26,.75
