Sexo,Municipios,Edad (año a año),Periodo,Total
Total,50002 Acered,85 años,2020,1
Total,50002 Acered,86 años,2020,2
Total,50002 Acered,87 años,2020,2
Total,50002 Acered,88 años,2020,5
Total,50002 Acered,89 años,2020,1
Total,50002 Acered,90 años,2020,1
Total,50002 Acered,91 años,2020,0
Total,50002 Acered,92 años,2020,0
Total,50002 Acered,93 años,2020,1
Total,50002 Acered,94 años,2020,0
Total,50002 Acered,95 años,2020,0
Total,50002 Acered,96 años,2020,0
Total,50002 Acered,97 años,2020,0
Total,50002 Acered,98 años,2020,0
Total,50002 Acered,99 años,2020,1
Total,50002 Acered,100 y más años,2020,0
Total,50003 Agón,66 años,2020,3
Total,50003 Agón,67 años,2020,1
Total,50003 Agón,68 años,2020,2
Total,50003 Agón,69 años,2020,1
Total,50003 Agón,70 años,2020,4
Total,50003 Agón,71 años,2020,2
Total,50003 Agón,72 años,2020,5
Total,50003 Agón,73 años,2020,3
Total,50003 Agón,74 años,2020,0
Total,50003 Agón,75 años,2020,4
Total,50003 Agón,76 años,2020,3
Total,50003 Agón,77 años,2020,2
Total,50003 Agón,78 años,2020,0
Total,50003 Agón,79 años,2020,3
Total,50003 Agón,80 años,2020,2
Total,50003 Agón,81 años,2020,2
Total,50003 Agón,82 años,2020,2
Total,50003 Agón,83 años,2020,2
Total,50003 Agón,84 años,2020,0
Total,50003 Agón,85 años,2020,0
Total,50003 Agón,86 años,2020,1
Total,50003 Agón,87 años,2020,1
Total,50003 Agón,88 años,2020,0
Total,50003 Agón,89 años,2020,0
Total,50003 Agón,90 años,2020,0
Total,50003 Agón,91 años,2020,0
Total,50003 Agón,92 años,2020,1
Total,50003 Agón,93 años,2020,0
Total,50003 Agón,94 años,2020,0
Total,50003 Agón,95 años,2020,0
Total,50003 Agón,96 años,2020,0
Total,50003 Agón,97 años,2020,0
Total,50003 Agón,98 años,2020,0
Total,50003 Agón,99 años,2020,0
Total,50003 Agón,100 y más años,2020,0
Total,50004 Aguarón,66 años,2020,10
Total,50004 Aguarón,67 años,2020,9
Total,50004 Aguarón,68 años,2020,8
Total,50004 Aguarón,69 años,2020,2
Total,50004 Aguarón,70 años,2020,3
Total,50004 Aguarón,71 años,2020,5
Total,50004 Aguarón,72 años,2020,7
Total,50004 Aguarón,73 años,2020,8
Total,50004 Aguarón,74 años,2020,9
Total,50004 Aguarón,75 años,2020,4
Total,50004 Aguarón,76 años,2020,13
Total,50004 Aguarón,77 años,2020,6
Total,50004 Aguarón,78 años,2020,7
Total,50004 Aguarón,79 años,2020,8
Total,50004 Aguarón,80 años,2020,10
Total,50004 Aguarón,81 años,2020,3
Total,50004 Aguarón,82 años,2020,5
Total,50004 Aguarón,83 años,2020,9
Total,50004 Aguarón,84 años,2020,8
Total,50004 Aguarón,85 años,2020,6
Total,50004 Aguarón,86 años,2020,9
Total,50004 Aguarón,87 años,2020,5
Total,50004 Aguarón,88 años,2020,7
Total,50004 Aguarón,89 años,2020,4
Total,50004 Aguarón,90 años,2020,3
Total,50004 Aguarón,91 años,2020,1
Total,50004 Aguarón,92 años,2020,2
Total,50004 Aguarón,93 años,2020,1
Total,50004 Aguarón,94 años,2020,4
Total,50004 Aguarón,95 años,2020,0
Total,50004 Aguarón,96 años,2020,0
Total,50004 Aguarón,97 años,2020,0
Total,50004 Aguarón,98 años,2020,0
Total,50004 Aguarón,99 años,2020,0
Total,50004 Aguarón,100 y más años,2020,0
Total,50005 Aguilón,66 años,2020,3
Total,50005 Aguilón,67 años,2020,4
Total,50005 Aguilón,68 años,2020,6
Total,50005 Aguilón,69 años,2020,6
Total,50005 Aguilón,70 años,2020,4
Total,50005 Aguilón,71 años,2020,4
Total,50005 Aguilón,72 años,2020,2
Total,50005 Aguilón,73 años,2020,5
Total,50005 Aguilón,74 años,2020,5
Total,50005 Aguilón,75 años,2020,1
Total,50005 Aguilón,76 años,2020,4
Total,50005 Aguilón,77 años,2020,4
Total,50005 Aguilón,78 años,2020,5
Total,50005 Aguilón,79 años,2020,2
Total,50005 Aguilón,80 años,2020,2
Total,50005 Aguilón,81 años,2020,3
Total,50005 Aguilón,82 años,2020,3
Total,50005 Aguilón,83 años,2020,1
Total,50005 Aguilón,84 años,2020,3
Total,50005 Aguilón,85 años,2020,1
Total,50005 Aguilón,86 años,2020,2
Total,50005 Aguilón,87 años,2020,4
Total,50005 Aguilón,88 años,2020,2
Total,50005 Aguilón,89 años,2020,6
Total,50005 Aguilón,90 años,2020,2
Total,50005 Aguilón,91 años,2020,2
Total,50005 Aguilón,92 años,2020,2
Total,50005 Aguilón,93 años,2020,0
Total,50005 Aguilón,94 años,2020,0
Total,50005 Aguilón,95 años,2020,0
Total,50005 Aguilón,96 años,2020,0
Total,50005 Aguilón,97 años,2020,1
Total,50005 Aguilón,98 años,2020,1
Total,50005 Aguilón,99 años,2020,0
Total,50005 Aguilón,100 y más años,2020,0
Total,50006 Ainzón,66 años,2020,16
Total,50006 Ainzón,67 años,2020,7
Total,50006 Ainzón,68 años,2020,9
Total,50006 Ainzón,69 años,2020,12
Total,50006 Ainzón,70 años,2020,10
Total,50006 Ainzón,71 años,2020,9
Total,50006 Ainzón,72 años,2020,8
Total,50006 Ainzón,73 años,2020,13
Total,50006 Ainzón,74 años,2020,6
Total,50006 Ainzón,75 años,2020,6
Total,50006 Ainzón,76 años,2020,9
Total,50006 Ainzón,77 años,2020,9
Total,50006 Ainzón,78 años,2020,13
Total,50006 Ainzón,79 años,2020,9
Total,50006 Ainzón,80 años,2020,10
Total,50006 Ainzón,81 años,2020,10
Total,50006 Ainzón,82 años,2020,12
Total,50006 Ainzón,83 años,2020,8
Total,50006 Ainzón,84 años,2020,8
Total,50006 Ainzón,85 años,2020,4
Total,50006 Ainzón,86 años,2020,16
Total,50006 Ainzón,87 años,2020,6
Total,50006 Ainzón,88 años,2020,6
Total,50006 Ainzón,89 años,2020,10
Total,50006 Ainzón,90 años,2020,5
Total,50006 Ainzón,91 años,2020,4
Total,50006 Ainzón,92 años,2020,1
Total,50006 Ainzón,93 años,2020,1
Total,50006 Ainzón,94 años,2020,5
Total,50006 Ainzón,95 años,2020,2
Total,50006 Ainzón,96 años,2020,1
Total,50006 Ainzón,97 años,2020,2
Total,50006 Ainzón,98 años,2020,1
Total,50006 Ainzón,99 años,2020,0
Total,50006 Ainzón,100 y más años,2020,2
Total,50007 Aladrén,66 años,2020,1
Total,50007 Aladrén,67 años,2020,1
Total,50007 Aladrén,68 años,2020,2
Total,50007 Aladrén,69 años,2020,0
Total,50007 Aladrén,70 años,2020,1
Total,50007 Aladrén,71 años,2020,1
Total,50007 Aladrén,72 años,2020,1
Total,50007 Aladrén,73 años,2020,0
Total,50007 Aladrén,74 años,2020,1
Total,50007 Aladrén,75 años,2020,2
Total,50007 Aladrén,76 años,2020,1
Total,50007 Aladrén,77 años,2020,0
Total,50007 Aladrén,78 años,2020,0
Total,50007 Aladrén,79 años,2020,1
Total,50007 Aladrén,80 años,2020,1
Total,50007 Aladrén,81 años,2020,1
Total,50007 Aladrén,82 años,2020,1
Total,50007 Aladrén,83 años,2020,0
Total,50007 Aladrén,84 años,2020,2
Total,50007 Aladrén,85 años,2020,0
Total,50007 Aladrén,86 años,2020,1
Total,50007 Aladrén,87 años,2020,1
Total,50007 Aladrén,88 años,2020,0
Total,50007 Aladrén,89 años,2020,0
Total,50007 Aladrén,90 años,2020,0
Total,50007 Aladrén,91 años,2020,1
Total,50007 Aladrén,92 años,2020,0
Total,50007 Aladrén,93 años,2020,0
Total,50007 Aladrén,94 años,2020,0
Total,50007 Aladrén,95 años,2020,0
Total,50007 Aladrén,96 años,2020,0
Total,50007 Aladrén,97 años,2020,0
Total,50007 Aladrén,98 años,2020,0
Total,50007 Aladrén,99 años,2020,0
Total,50007 Aladrén,100 y más años,2020,0
Total,50008 Alagón,66 años,2020,66
Total,50008 Alagón,67 años,2020,60
Total,50008 Alagón,68 años,2020,78
Total,50008 Alagón,69 años,2020,69
Total,50008 Alagón,70 años,2020,61
Total,50008 Alagón,71 años,2020,58
Total,50008 Alagón,72 años,2020,64
Total,50008 Alagón,73 años,2020,56
Total,50008 Alagón,74 años,2020,59
Total,50008 Alagón,75 años,2020,51
Total,50008 Alagón,76 años,2020,47
Total,50008 Alagón,77 años,2020,49
Total,50008 Alagón,78 años,2020,40
Total,50008 Alagón,79 años,2020,39
Total,50008 Alagón,80 años,2020,50
Total,50008 Alagón,81 años,2020,30
Total,50008 Alagón,82 años,2020,34
Total,50008 Alagón,83 años,2020,49
Total,50008 Alagón,84 años,2020,27
Total,50008 Alagón,85 años,2020,42
Total,50008 Alagón,86 años,2020,31
Total,50008 Alagón,87 años,2020,41
Total,50008 Alagón,88 años,2020,21
Total,50008 Alagón,89 años,2020,29
Total,50008 Alagón,90 años,2020,16
Total,50008 Alagón,91 años,2020,20
Total,50008 Alagón,92 años,2020,10
Total,50008 Alagón,93 años,2020,9
Total,50008 Alagón,94 años,2020,8
Total,50008 Alagón,95 años,2020,11
Total,50008 Alagón,96 años,2020,6
Total,50008 Alagón,97 años,2020,6
Total,50008 Alagón,98 años,2020,4
Total,50008 Alagón,99 años,2020,0
Total,50008 Alagón,100 y más años,2020,3
Total,50009 Alarba,66 años,2020,1
Total,50009 Alarba,67 años,2020,2
Total,50009 Alarba,68 años,2020,2
Total,50009 Alarba,69 años,2020,2
Total,50009 Alarba,70 años,2020,0
Total,50009 Alarba,71 años,2020,1
Total,50009 Alarba,72 años,2020,2
Total,50009 Alarba,73 años,2020,3
Total,50009 Alarba,74 años,2020,1
Total,50009 Alarba,75 años,2020,1
Total,50009 Alarba,76 años,2020,2
Total,50009 Alarba,77 años,2020,1
Total,50009 Alarba,78 años,2020,2
Total,50009 Alarba,79 años,2020,0
Total,50009 Alarba,80 años,2020,2
Total,50009 Alarba,81 años,2020,2
Total,50009 Alarba,82 años,2020,1
Total,50009 Alarba,83 años,2020,6
Total,50009 Alarba,84 años,2020,2
Total,50009 Alarba,85 años,2020,4
Total,50009 Alarba,86 años,2020,0
Total,50009 Alarba,87 años,2020,1
Total,50009 Alarba,88 años,2020,1
Total,50009 Alarba,89 años,2020,1
Total,50009 Alarba,90 años,2020,3
Total,50009 Alarba,91 años,2020,1
Total,50009 Alarba,92 años,2020,0
Total,50009 Alarba,93 años,2020,2
Total,50009 Alarba,94 años,2020,0
Total,50009 Alarba,95 años,2020,0
Total,50009 Alarba,96 años,2020,0
Total,50009 Alarba,97 años,2020,1
Total,50009 Alarba,98 años,2020,0
Total,50009 Alarba,99 años,2020,0
Total,50009 Alarba,100 y más años,2020,0
Total,50010 Alberite de San Juan,66 años,2020,1
Total,50010 Alberite de San Juan,67 años,2020,0
Total,50010 Alberite de San Juan,68 años,2020,1
Total,50010 Alberite de San Juan,69 años,2020,1
Total,50010 Alberite de San Juan,70 años,2020,1
Total,50010 Alberite de San Juan,71 años,2020,1
Total,50010 Alberite de San Juan,72 años,2020,2
Total,50010 Alberite de San Juan,73 años,2020,0
Total,50010 Alberite de San Juan,74 años,2020,1
Total,50010 Alberite de San Juan,75 años,2020,3
Total,50010 Alberite de San Juan,76 años,2020,1
Total,50010 Alberite de San Juan,77 años,2020,1
Total,50010 Alberite de San Juan,78 años,2020,2
Total,50010 Alberite de San Juan,79 años,2020,3
Total,50010 Alberite de San Juan,80 años,2020,0
Total,50010 Alberite de San Juan,81 años,2020,1
Total,50010 Alberite de San Juan,82 años,2020,0
Total,50010 Alberite de San Juan,83 años,2020,1
Total,50010 Alberite de San Juan,84 años,2020,1
Total,50010 Alberite de San Juan,85 años,2020,0
Total,50010 Alberite de San Juan,86 años,2020,0
Total,50010 Alberite de San Juan,87 años,2020,1
Total,50010 Alberite de San Juan,88 años,2020,1
Total,50010 Alberite de San Juan,89 años,2020,0
Total,50010 Alberite de San Juan,90 años,2020,0
Total,50010 Alberite de San Juan,91 años,2020,0
Total,50010 Alberite de San Juan,92 años,2020,0
Total,50010 Alberite de San Juan,93 años,2020,0
Total,50010 Alberite de San Juan,94 años,2020,0
Total,50010 Alberite de San Juan,95 años,2020,0
Total,50010 Alberite de San Juan,96 años,2020,1
Total,50010 Alberite de San Juan,97 años,2020,0
Total,50010 Alberite de San Juan,98 años,2020,0
Total,50010 Alberite de San Juan,99 años,2020,0
Total,50010 Alberite de San Juan,100 y más años,2020,0
Total,50011 Albeta,66 años,2020,3
Total,50011 Albeta,67 años,2020,1
Total,50011 Albeta,68 años,2020,3
Total,50011 Albeta,69 años,2020,1
Total,50011 Albeta,70 años,2020,4
Total,50011 Albeta,71 años,2020,0
Total,50011 Albeta,72 años,2020,0
Total,50011 Albeta,73 años,2020,2
Total,50011 Albeta,74 años,2020,0
Total,50011 Albeta,75 años,2020,1
Total,50011 Albeta,76 años,2020,2
Total,50011 Albeta,77 años,2020,0
Total,50011 Albeta,78 años,2020,2
Total,50011 Albeta,79 años,2020,3
Total,50011 Albeta,80 años,2020,1
Total,50011 Albeta,81 años,2020,1
Total,50011 Albeta,82 años,2020,0
Total,50011 Albeta,83 años,2020,3
Total,50011 Albeta,84 años,2020,2
Total,50011 Albeta,85 años,2020,0
Total,50011 Albeta,86 años,2020,2
Total,50011 Albeta,87 años,2020,1
Total,50011 Albeta,88 años,2020,1
Total,50011 Albeta,89 años,2020,1
Total,50011 Albeta,90 años,2020,1
Total,50011 Albeta,91 años,2020,0
Total,50011 Albeta,92 años,2020,1
Total,50011 Albeta,93 años,2020,0
Total,50011 Albeta,94 años,2020,0
Total,50011 Albeta,95 años,2020,0
Total,50011 Albeta,96 años,2020,0
Total,50011 Albeta,97 años,2020,0
Total,50011 Albeta,98 años,2020,0
Total,50011 Albeta,99 años,2020,0
Total,50011 Albeta,100 y más años,2020,0
Total,50012 Alborge,66 años,2020,1
Total,50012 Alborge,67 años,2020,2
Total,50012 Alborge,68 años,2020,0
Total,50012 Alborge,69 años,2020,1
Total,50012 Alborge,70 años,2020,0
Total,50012 Alborge,71 años,2020,0
Total,50012 Alborge,72 años,2020,0
Total,50012 Alborge,73 años,2020,0
Total,50012 Alborge,74 años,2020,1
Total,50012 Alborge,75 años,2020,2
Total,50012 Alborge,76 años,2020,3
Total,50012 Alborge,77 años,2020,2
Total,50012 Alborge,78 años,2020,1
Total,50012 Alborge,79 años,2020,1
Total,50012 Alborge,80 años,2020,2
Total,50012 Alborge,81 años,2020,0
Total,50012 Alborge,82 años,2020,2
Total,50012 Alborge,83 años,2020,1
Total,50012 Alborge,84 años,2020,1
Total,50012 Alborge,85 años,2020,0
Total,50012 Alborge,86 años,2020,0
Total,50012 Alborge,87 años,2020,5
Total,50012 Alborge,88 años,2020,0
Total,50012 Alborge,89 años,2020,1
Total,50012 Alborge,90 años,2020,1
Total,50012 Alborge,91 años,2020,1
Total,50012 Alborge,92 años,2020,0
Total,50012 Alborge,93 años,2020,0
Total,50012 Alborge,94 años,2020,1
Total,50012 Alborge,95 años,2020,0
Total,50012 Alborge,96 años,2020,0
Total,50012 Alborge,97 años,2020,0
Total,50012 Alborge,98 años,2020,0
Total,50012 Alborge,99 años,2020,0
Total,50012 Alborge,100 y más años,2020,1
Total,50013 Alcalá de Ebro,66 años,2020,4
Total,50013 Alcalá de Ebro,67 años,2020,4
Total,50013 Alcalá de Ebro,68 años,2020,0
Total,50013 Alcalá de Ebro,69 años,2020,3
Total,50013 Alcalá de Ebro,70 años,2020,4
Total,50013 Alcalá de Ebro,71 años,2020,2
Total,50013 Alcalá de Ebro,72 años,2020,3
Total,50013 Alcalá de Ebro,73 años,2020,3
Total,50013 Alcalá de Ebro,74 años,2020,0
Total,50013 Alcalá de Ebro,75 años,2020,1
Total,50013 Alcalá de Ebro,76 años,2020,1
Total,50013 Alcalá de Ebro,77 años,2020,7
Total,50013 Alcalá de Ebro,78 años,2020,2
Total,50013 Alcalá de Ebro,79 años,2020,1
Total,50013 Alcalá de Ebro,80 años,2020,6
Total,50013 Alcalá de Ebro,81 años,2020,2
Total,50013 Alcalá de Ebro,82 años,2020,5
Total,50013 Alcalá de Ebro,83 años,2020,2
Total,50013 Alcalá de Ebro,84 años,2020,3
Total,50013 Alcalá de Ebro,85 años,2020,4
Total,50013 Alcalá de Ebro,86 años,2020,1
Total,50013 Alcalá de Ebro,87 años,2020,4
Total,50013 Alcalá de Ebro,88 años,2020,3
Total,50013 Alcalá de Ebro,89 años,2020,2
Total,50013 Alcalá de Ebro,90 años,2020,0
Total,50013 Alcalá de Ebro,91 años,2020,1
Total,50013 Alcalá de Ebro,92 años,2020,1
Total,50013 Alcalá de Ebro,93 años,2020,0
Total,50013 Alcalá de Ebro,94 años,2020,1
Total,50013 Alcalá de Ebro,95 años,2020,0
Total,50013 Alcalá de Ebro,96 años,2020,1
Total,50013 Alcalá de Ebro,97 años,2020,1
Total,50013 Alcalá de Ebro,98 años,2020,0
Total,50013 Alcalá de Ebro,99 años,2020,0
Total,50013 Alcalá de Ebro,100 y más años,2020,0
Total,50014 Alcalá de Moncayo,66 años,2020,0
Total,50014 Alcalá de Moncayo,67 años,2020,0
Total,50014 Alcalá de Moncayo,68 años,2020,1
Total,50014 Alcalá de Moncayo,69 años,2020,1
Total,50014 Alcalá de Moncayo,70 años,2020,1
Total,50014 Alcalá de Moncayo,71 años,2020,3
Total,50014 Alcalá de Moncayo,72 años,2020,2
Total,50014 Alcalá de Moncayo,73 años,2020,2
Total,50014 Alcalá de Moncayo,74 años,2020,3
Total,50014 Alcalá de Moncayo,75 años,2020,1
Total,50014 Alcalá de Moncayo,76 años,2020,7
Total,50014 Alcalá de Moncayo,77 años,2020,2
Total,50014 Alcalá de Moncayo,78 años,2020,3
Total,50014 Alcalá de Moncayo,79 años,2020,2
Total,50014 Alcalá de Moncayo,80 años,2020,1
Total,50014 Alcalá de Moncayo,81 años,2020,0
Total,50014 Alcalá de Moncayo,82 años,2020,1
Total,50014 Alcalá de Moncayo,83 años,2020,5
Total,50014 Alcalá de Moncayo,84 años,2020,0
Total,50014 Alcalá de Moncayo,85 años,2020,2
Total,50014 Alcalá de Moncayo,86 años,2020,1
Total,50014 Alcalá de Moncayo,87 años,2020,0
Total,50014 Alcalá de Moncayo,88 años,2020,2
Total,50014 Alcalá de Moncayo,89 años,2020,0
Total,50014 Alcalá de Moncayo,90 años,2020,2
Total,50014 Alcalá de Moncayo,91 años,2020,0
Total,50014 Alcalá de Moncayo,92 años,2020,0
Total,50014 Alcalá de Moncayo,93 años,2020,0
Total,50014 Alcalá de Moncayo,94 años,2020,0
Total,50014 Alcalá de Moncayo,95 años,2020,0
Total,50014 Alcalá de Moncayo,96 años,2020,0
Total,50014 Alcalá de Moncayo,97 años,2020,0
Total,50014 Alcalá de Moncayo,98 años,2020,0
Total,50014 Alcalá de Moncayo,99 años,2020,0
Total,50014 Alcalá de Moncayo,100 y más años,2020,0
Total,50015 Alconchel de Ariza,66 años,2020,1
Total,50015 Alconchel de Ariza,67 años,2020,0
Total,50015 Alconchel de Ariza,68 años,2020,1
Total,50015 Alconchel de Ariza,69 años,2020,0
Total,50015 Alconchel de Ariza,70 años,2020,2
Total,50015 Alconchel de Ariza,71 años,2020,2
Total,50015 Alconchel de Ariza,72 años,2020,0
Total,50015 Alconchel de Ariza,73 años,2020,2
Total,50015 Alconchel de Ariza,74 años,2020,0
Total,50015 Alconchel de Ariza,75 años,2020,2
Total,50015 Alconchel de Ariza,76 años,2020,0
Total,50015 Alconchel de Ariza,77 años,2020,1
Total,50015 Alconchel de Ariza,78 años,2020,0
Total,50015 Alconchel de Ariza,79 años,2020,1
Total,50015 Alconchel de Ariza,80 años,2020,2
Total,50015 Alconchel de Ariza,81 años,2020,0
Total,50015 Alconchel de Ariza,82 años,2020,4
Total,50015 Alconchel de Ariza,83 años,2020,2
Total,50015 Alconchel de Ariza,84 años,2020,2
Total,50015 Alconchel de Ariza,85 años,2020,1
Total,50015 Alconchel de Ariza,86 años,2020,1
Total,50015 Alconchel de Ariza,87 años,2020,2
Total,50015 Alconchel de Ariza,88 años,2020,2
Total,50015 Alconchel de Ariza,89 años,2020,2
Total,50015 Alconchel de Ariza,90 años,2020,1
Total,50015 Alconchel de Ariza,91 años,2020,0
Total,50015 Alconchel de Ariza,92 años,2020,1
Total,50015 Alconchel de Ariza,93 años,2020,0
Total,50015 Alconchel de Ariza,94 años,2020,0
Total,50015 Alconchel de Ariza,95 años,2020,0
Total,50015 Alconchel de Ariza,96 años,2020,1
Total,50015 Alconchel de Ariza,97 años,2020,0
Total,50015 Alconchel de Ariza,98 años,2020,0
Total,50015 Alconchel de Ariza,99 años,2020,0
Total,50015 Alconchel de Ariza,100 y más años,2020,0
Total,50016 Aldehuela de Liestos,66 años,2020,1
Total,50016 Aldehuela de Liestos,67 años,2020,0
Total,50016 Aldehuela de Liestos,68 años,2020,1
Total,50016 Aldehuela de Liestos,69 años,2020,0
Total,50016 Aldehuela de Liestos,70 años,2020,2
Total,50016 Aldehuela de Liestos,71 años,2020,1
Total,50016 Aldehuela de Liestos,72 años,2020,1
Total,50016 Aldehuela de Liestos,73 años,2020,0
Total,50016 Aldehuela de Liestos,74 años,2020,1
Total,50016 Aldehuela de Liestos,75 años,2020,2
Total,50016 Aldehuela de Liestos,76 años,2020,0
Total,50016 Aldehuela de Liestos,77 años,2020,0
Total,50016 Aldehuela de Liestos,78 años,2020,2
Total,50016 Aldehuela de Liestos,79 años,2020,0
Total,50016 Aldehuela de Liestos,80 años,2020,1
Total,50016 Aldehuela de Liestos,81 años,2020,0
Total,50016 Aldehuela de Liestos,82 años,2020,1
Total,50016 Aldehuela de Liestos,83 años,2020,0
Total,50016 Aldehuela de Liestos,84 años,2020,1
Total,50016 Aldehuela de Liestos,85 años,2020,0
Total,50016 Aldehuela de Liestos,86 años,2020,0
Total,50016 Aldehuela de Liestos,87 años,2020,0
Total,50016 Aldehuela de Liestos,88 años,2020,0
Total,50016 Aldehuela de Liestos,89 años,2020,0
Total,50016 Aldehuela de Liestos,90 años,2020,1
Total,50016 Aldehuela de Liestos,91 años,2020,0
Total,50016 Aldehuela de Liestos,92 años,2020,2
Total,50016 Aldehuela de Liestos,93 años,2020,0
Total,50016 Aldehuela de Liestos,94 años,2020,0
Total,50016 Aldehuela de Liestos,95 años,2020,0
Total,50016 Aldehuela de Liestos,96 años,2020,0
Total,50016 Aldehuela de Liestos,97 años,2020,0
Total,50016 Aldehuela de Liestos,98 años,2020,0
Total,50016 Aldehuela de Liestos,99 años,2020,0
Total,50016 Aldehuela de Liestos,100 y más años,2020,0
Total,50017 Alfajarín,66 años,2020,32
Total,50017 Alfajarín,67 años,2020,27
Total,50017 Alfajarín,68 años,2020,22
Total,50017 Alfajarín,69 años,2020,25
Total,50017 Alfajarín,70 años,2020,18
Total,50017 Alfajarín,71 años,2020,20
Total,50017 Alfajarín,72 años,2020,11
Total,50017 Alfajarín,73 años,2020,14
Total,50017 Alfajarín,74 años,2020,22
Total,50017 Alfajarín,75 años,2020,15
Total,50017 Alfajarín,76 años,2020,12
Total,50017 Alfajarín,77 años,2020,17
Total,50017 Alfajarín,78 años,2020,16
Total,50017 Alfajarín,79 años,2020,14
Total,50017 Alfajarín,80 años,2020,15
Total,50017 Alfajarín,81 años,2020,16
Total,50017 Alfajarín,82 años,2020,15
Total,50017 Alfajarín,83 años,2020,13
Total,50017 Alfajarín,84 años,2020,22
Total,50017 Alfajarín,85 años,2020,14
Total,50017 Alfajarín,86 años,2020,6
Total,50017 Alfajarín,87 años,2020,12
Total,50017 Alfajarín,88 años,2020,5
Total,50017 Alfajarín,89 años,2020,8
Total,50017 Alfajarín,90 años,2020,7
Total,50017 Alfajarín,91 años,2020,6
Total,50017 Alfajarín,92 años,2020,4
Total,50017 Alfajarín,93 años,2020,2
Total,50017 Alfajarín,94 años,2020,3
Total,50017 Alfajarín,95 años,2020,1
Total,50017 Alfajarín,96 años,2020,1
Total,50017 Alfajarín,97 años,2020,2
Total,50017 Alfajarín,98 años,2020,1
Total,50017 Alfajarín,99 años,2020,0
Total,50017 Alfajarín,100 y más años,2020,1
Total,50018 Alfamén,66 años,2020,21
Total,50018 Alfamén,67 años,2020,14
Total,50018 Alfamén,68 años,2020,17
Total,50018 Alfamén,69 años,2020,15
Total,50018 Alfamén,70 años,2020,8
Total,50018 Alfamén,71 años,2020,8
Total,50018 Alfamén,72 años,2020,4
Total,50018 Alfamén,73 años,2020,7
Total,50018 Alfamén,74 años,2020,10
Total,50018 Alfamén,75 años,2020,9
Total,50018 Alfamén,76 años,2020,11
Total,50018 Alfamén,77 años,2020,8
Total,50018 Alfamén,78 años,2020,9
Total,50018 Alfamén,79 años,2020,18
Total,50018 Alfamén,80 años,2020,7
Total,50018 Alfamén,81 años,2020,5
Total,50018 Alfamén,82 años,2020,11
Total,50018 Alfamén,83 años,2020,9
Total,50018 Alfamén,84 años,2020,7
Total,50018 Alfamén,85 años,2020,8
Total,50018 Alfamén,86 años,2020,14
Total,50018 Alfamén,87 años,2020,4
Total,50018 Alfamén,88 años,2020,5
Total,50018 Alfamén,89 años,2020,6
Total,50018 Alfamén,90 años,2020,10
Total,50018 Alfamén,91 años,2020,9
Total,50018 Alfamén,92 años,2020,2
Total,50018 Alfamén,93 años,2020,1
Total,50018 Alfamén,94 años,2020,1
Total,50018 Alfamén,95 años,2020,1
Total,50018 Alfamén,96 años,2020,0
Total,50018 Alfamén,97 años,2020,1
Total,50018 Alfamén,98 años,2020,0
Total,50018 Alfamén,99 años,2020,0
Total,50018 Alfamén,100 y más años,2020,1
Total,50019 Alforque,66 años,2020,1
Total,50019 Alforque,67 años,2020,2
