cp,name,percentage,dosmildiecinueve,dosmildieciocho
50179,Moyuela,14.28,280,245
50180,Mozota,-6.15,122,130
50181,Muel,3.37,1378,1333
50182,Muela La,5.56,5784,5479
50183,Munébrega,-3.63,371,385
50184,Murero,-8.41,98,107
50185,Murillo de Gállego,5.17,183,174
50186,Navardún,-5.00,38,40
50187,Nigüella,-6.06,62,66
50188,Nombrevilla,6.89,31,29
50189,Nonaspe,-0.10,961,962
50190,Novallas,-2.35,830,850
50191,Novillas,-1.48,532,540
50192,Nuévalos,-4.61,310,325
50193,Nuez de Ebro,1.20,837,827
50194,Olvés,-1.88,104,106
50195,Orcajo,-1.69,58,59
50196,Orera,-3.38,114,118
50197,Orés,9.61,114,104
50198,Oseja,1.92,53,52
50199,Osera de Ebro,-2.27,386,395
50200,Paniza,-3.94,609,634
50201,Paracuellos de Jiloca,-1.49,592,601
50202,Paracuellos de la Ribera,-9.49,143,158
50203,Pastriz,0.30,1297,1293
50204,Pedrola,1.68,3568,3509
50205,Pedrosas Las,-3.33,87,90
50206,Perdiguera,-0.86,572,577
50207,Piedratajada,-2.06,95,97
50208,Pina de Ebro,-0.46,2362,2373
50209,Pinseque,1.66,3973,3908
50210,Pintanos Los,0,37,37
50211,Plasencia de Jalón,0.99,306,303
50212,Pleitas,-5.55,34,36
50213,Plenas,4.95,106,101
50214,Pomer,0,22,22
50215,Pozuel de Ariza,0,21,21
50216,Pozuelo de Aragón,4.22,296,284
50217,Pradilla de Ebro,-1.91,563,574
50218,Puebla de Albortón,-1.66,118,120
50219,La Puebla de Alfindén,2.10,6303,6173
50220,Puendeluna,0,44,44
50221,Purujosa,-2.77,35,36
50222,Quinto,-0.46,1939,1948
50223,Remolinos,0.46,1086,1081
50224,Retascón,-9.45,67,74
50225,Ricla,1.13,2847,2815
50227,Romanos,7.56,128,119
50228,Rueda de Jalón,-4.61,310,325
50229,Ruesca,8.33,78,72
50230,Sádaba,0,1324,1324
50231,Salillas de Jalón,3.61,315,304
50232,Salvatierra de Esca,0.50,199,198
50233,Samper del Salz,-1.78,110,112
50234,San Martín de la Virgen de Moncayo,-3.14,277,286
50235,San Mateo de Gállego,3.19,3234,3134
50236,Santa Cruz de Grío,7.40,116,108
50237,Santa Cruz de Moncayo,4.00,130,125
50238,Santa Eulalia de Gállego,-3.06,95,98
50239,Santed,3.27,63,61
50240,Sástago,-1.36,1154,1170
50241,Sabiñán,4.63,723,691
50242,Sediles,7.36,102,95
50243,Sestrica,-4.86,352,370
50244,Sierra de Luna,5.92,268,253
50245,Sigüés,-5.68,83,88
50246,Sisamón,-6.45,29,31
50247,Sobradiel,0.64,1096,1089
50248,Sos del Rey Católico,0.34,590,588
50249,Tabuenca,-2.78,314,323
50250,Talamantes,1.58,64,63
50251,Tarazona,0.22,10533,10509
50252,Tauste,-0.02,6912,6914
50253,Terrer,-7.83,447,485
50254,Tierga,-3.12,186,192
50255,Tobed,0,214,214
50256,Torralba de los Frailes,-8.13,79,86
50257,Torralba de Ribota,1.16,174,172
50258,Torralbilla,-9.83,55,61
50259,Torrehermosa,-6.34,59,63
50260,Torrelapaja,0,32,32
50261,Torrellas,0,250,250
50262,Torres de Berrellén,0,1446,1446
50263,Torrijo de la Cañada,-3.39,199,206
50264,Tosos,1.66,183,180
50265,Trasmoz,-3.37,86,89
50266,Trasobares,1.66,122,120
50267,Uncastillo,-2.15,636,650
50268,Undués de Lerda,-9.09,50,55
50269,Urrea de Jalón,0,418,418
50270,Urriés,2.63,39,38
50271,Used,-0.73,269,271
50272,Utebo,0.47,18691,18602
50273,Valdehorna,10.00,33,30
50274,Val de San Martín,3.12,66,64
50275,Valmadrid,4.46,117,112
50276,Valpalmas,-1.40,140,142
50277,Valtorres,-10.29,61,68
50278,Velilla de Ebro,0,215,215
50279,Velilla de Jiloca,-3.33,87,90
50280,Vera de Moncayo,-6.11,338,360
50281,Vierlas,4.05,77,74
50282,La Vilueña,-6.49,72,77
50283,Villadoz,4.54,92,88
50284,Villafeliche,-2.35,166,170
50285,Villafranca de Ebro,.36,833,830
50286,Villalba de Perejil,-3.03,96,99
50287,Villalengua,-1.88,313,319
50288,Villanueva de Gállego,1.26,4720,4661
50289,Villanueva de Jiloca,17.39,54,46
50290,Villanueva de Huerva,-4.31,443,463
50291,Villar de los Navarros,3.92,106,102
50292,Villarreal de Huerva,0,274,274
50293,Villarroya de la Sierra,-4.29,446,466
50294,Villarroya del Campo,8.82,74,68
50295,Vistabella,0,49,49
50296,La Zaida,-4.39,435,455
50297,Zaragoza,1.21,674997,666880
50298,Zuera,2.39,8565,8365
50901,Biel,10.00,154,140
50902,Marracos,0,86,86
50903,Villamayor de Gállego,0.89,2720,2696
