cp,name,percentage
50149,Luesma,2.94
50150,Lumpiaque,-1.57
50151,Luna,-0.42
50152,Maella,-1.09
50153,Magallón,-0.44
50154,Mainar,2.64
50155,Malanquilla,-8.00
50156,Maleján,0
50157,Malón,10.21
50159,Maluenda,-2.12
50160,Mallén,-1.55
50161,Manchones,16.32
50162,Mara,-7.18
50163,María de Huerva,2.63
50164,Mediana de Aragón,-0.86
50165,Mequinenza,0.99
50166,Mesones de Isuela,-2.58
50167,Mezalocha,-0.83
50168,Mianos,-6.25
50169,Miedes de Aragón,0.23
50170,Monegrillo,-1.93
50171,Moneva,3.19
50172,Monreal de Ariza,-5.66
50173,Monterde,-1.25
50174,Montón,0
50175,Morata de Jalón,-1.64
50176,Morata de Jiloca,7.09
50177,Morés,-3.29
50178,Moros,-5.24
50179,Moyuela,14.28
50180,Mozota,-6.15
50181,Muel,3.37
50182,Muela La,5.56
50183,Munébrega,-3.63
50184,Murero,-8.41
50185,Murillo de Gállego,5.17
50186,Navardún,-5.00
50187,Nigüella,-6.06
50188,Nombrevilla,6.89
50189,Nonaspe,-0.10
50190,Novallas,-2.35
50191,Novillas,-1.48
50192,Nuévalos,-4.61
50193,Nuez de Ebro,1.20
50194,Olvés,-1.88
50195,Orcajo,-1.69
50196,Orera,-3.38
50197,Orés,9.61
50198,Oseja,1.92
50199,Osera de Ebro,-2.27
50200,Paniza,-3.94
50201,Paracuellos de Jiloca,-1.49
50202,Paracuellos de la Ribera,-9.49
50203,Pastriz,0.30
50204,Pedrola,1.68
50205,Pedrosas Las,-3.33
50206,Perdiguera,-0.86
50207,Piedratajada,-2.06
50208,Pina de Ebro,-0.46
50209,Pinseque,1.66
50210,Pintanos Los,0
50211,Plasencia de Jalón,0.99
50212,Pleitas,-5.55
50213,Plenas,4.95
50214,Pomer,0
50215,Pozuel de Ariza,0
50216,Pozuelo de Aragón,4.22
50217,Pradilla de Ebro,-1.91
50218,Puebla de Albortón,-1.66
50219,La Puebla de Alfindén,2.10
50220,Puendeluna,0
50221,Purujosa,-2.77
50222,Quinto,-0.46
50223,Remolinos,0.46
50224,Retascón,-9.45
50225,Ricla,1.13
50227,Romanos,7.56
50228,Rueda de Jalón,-4.61
50229,Ruesca,8.33
50230,Sádaba,0
50231,Salillas de Jalón,3.61
50232,Salvatierra de Esca,0.50
50233,Samper del Salz,-1.78
50234,San Martín de la Virgen de Moncayo,-3.14
50235,San Mateo de Gállego,3.19
50236,Santa Cruz de Grío,7.40
50237,Santa Cruz de Moncayo,4.00
50238,Santa Eulalia de Gállego,-3.06
50239,Santed,3.27
50240,Sástago,-1.36
50241,Sabiñán,4.63
50242,Sediles,7.36
50243,Sestrica,-4.86
50244,Sierra de Luna,5.92
50245,Sigüés,-5.68
50246,Sisamón,-6.45
50247,Sobradiel,0.64
50248,Sos del Rey Católico,0.34
50249,Tabuenca,-2.78
50250,Talamantes,1.58
50251,Tarazona,0.22
50252,Tauste,-0.02
50253,Terrer,-7.83
50254,Tierga,-3.12
50255,Tobed,0
50256,Torralba de los Frailes,-8.13
50257,Torralba de Ribota,1.16
50258,Torralbilla,-9.83
50259,Torrehermosa,-6.34
50260,Torrelapaja,0
50261,Torrellas,0
50262,Torres de Berrellén,0
50263,Torrijo de la Cañada,-3.39
50264,Tosos,1.66
50265,Trasmoz,-3.37
50266,Trasobares,1.66
50267,Uncastillo,-2.15
50268,Undués de Lerda,-9.09
50269,Urrea de Jalón,0
50270,Urriés,2.63
50271,Used,-0.73
50272,Utebo,0.47
50273,Valdehorna,10.00
50274,Val de San Martín,3.12
50275,Valmadrid,4.46
50276,Valpalmas,-1.40
50277,Valtorres,-10.29
50278,Velilla de Ebro,0
50279,Velilla de Jiloca,-3.33
50280,Vera de Moncayo,-6.11
50281,Vierlas,4.05
50282,La Vilueña,-6.49
50283,Villadoz,4.54
50284,Villafeliche,-2.35
50285,Villafranca de Ebro,.36
50286,Villalba de Perejil,-3.03
50287,Villalengua,-1.88
50288,Villanueva de Gállego,1.26
50289,Villanueva de Jiloca,17.39
50290,Villanueva de Huerva,-4.31
50291,Villar de los Navarros,3.92
50292,Villarreal de Huerva,0
50293,Villarroya de la Sierra,-4.29
50294,Villarroya del Campo,8.82
50295,Vistabella,0
50296,La Zaida,-4.39
50297,Zaragoza,1.21
50298,Zuera,2.39
50901,Biel,10.00
50902,Marracos,0
50903,Villamayor de Gállego,0.89
