year,name,menor,mayor,population
2024,Tauste,12.9,23.5,6785
2024,Terrer,10.1,26.7,577
2024,Tierga,3.4,31.1,177
2024,Tobed,7.1,36.7,196
2024,Torralba de los Frailes,4.4,51.5,68
2024,Torralba de Ribota,1.8,38.5,169
2024,Torralbilla,0.0,43.6,39
2024,Torrehermosa,5.1,34.6,78
2024,Torrelapaja,0.0,51.7,29
2024,Torrellas,10.0,30.7,231
2024,Torres de Berrellén,14.0,22.3,1504
2024,Torrijo de la Cañada,4.7,42.0,193
2024,Tosos,8.0,32.4,176
2024,Trasmoz,10.8,30.1,83
2024,Trasobares,4.1,43.4,122
2024,Uncastillo,5.5,36.4,615
2024,Undués de Lerda,12.7,10.9,55
2024,Urrea de Jalón,14.6,24.3,437
2024,Urriés,6.1,46.9,49
2024,Used,4.9,39.2,263
2024,Utebo,17.3,14.6,18984
2024,Valdehorna,0.0,29.0,31
2024,Val de San Martín,1.7,40.7,59
2024,Valmadrid,4.7,39.4,127
2024,Valpalmas,0.8,41.7,127
2024,Valtorres,14.5,25.0,76
2024,Velilla de Ebro,10.7,30.7,205
2024,Velilla de Jiloca,5.3,26.3,76
2024,Vera de Moncayo,4.7,39.9,316
2024,Vierlas,12.2,23.3,90
2024,La Vilueña,11.9,40.7,59
2024,Villadoz,16.0,28.4,81
2024,Villafeliche,7.1,32.7,156
2024,Villafranca de Ebro,12.1,21.4,833
2024,Villalba de Perejil,11.9,36.9,84
2024,Villalengua,7.6,33.6,289
2024,Villanueva de Gállego,15.0,17.1,4809
2024,Villanueva de Jiloca,4.3,42.0,69
2024,Villanueva de Huerva,5.5,30.6,379
2024,Villar de los Navarros,8.9,33.8,157
2024,Villarreal de Huerva,13.9,18.7,267
2024,Villarroya de la Sierra,4.9,40.8,412
2024,Villarroya del Campo,5.9,42.6,68
2024,Vistabella,0.0,49.0,51
2024,La Zaida,8.6,32.9,431
2024,Zaragoza,14.0,22.4,691037
2024,Zuera,16.6,16.7,8635
2024,Biel,3.5,36.5,170
2024,Marracos,3.5,37.6,85
2024,Villamayor de Gállego,12.6,22.4,2852
