cp,municipio,total
50099,Épila,940
50100,Erla,38
50101,Escatrón,131
50102,Fabara,160
50104,Farlete,42
50105,Fayón,46
50106,Fayos Los,9
50107,Figueruelas,223
50108,Fombuena,0
50109,Frago El,1
50110,Frasno El,27
50111,Fréscano,18
50113,Fuendejalón,101
50114,Fuendetodos,7
50115,Fuentes de Ebro,929
50116,Fuentes de Jiloca,22
50117,Gallocanta,21
50118,Gallur,382
50119,Gelsa,119
50120,Godojos,4
50121,Gotor,33
50122,Grisel,9
50123,Grisén,103
50124,Herrera de los Navarros,64
50125,Ibdes,54
50126,Illueca,438
50128,Isuerre,3
50129,Jaraba,50
50130,Jarque,45
50131,Jaulín,7
50132,Joyosa La,251
50133,Lagata,6
50134,Langa del Castillo,3
50135,Layana,10
50136,Lécera,63
50137,Leciñena,161
50138,Lechón,6
50139,Letux,25
50140,Litago,7
50141,Lituénigo,6
50142,Lobera de Onsella,2
50143,Longares,92
50144,Longás,0
50146,Lucena de Jalón,41
50147,Luceni,146
50148,Luesia,22
50149,Luesma,0
50150,Lumpiaque,132
50151,Luna,59
50152,Maella,302
50153,Magallón,167
50154,Mainar,12
50155,Malanquilla,1
50156,Maleján,33
50157,Malón,51
50159,Maluenda,133
50160,Mallén,499
50161,Manchones,7
50162,Mara,22
50163,María de Huerva,1697
50164,Mediana de Aragón,57
50165,Mequinenza,379
50166,Mesones de Isuela,22
50167,Mezalocha,9
50168,Mianos,2
50169,Miedes de Aragón,40
50170,Monegrillo,33
50171,Moneva,2
50172,Monreal de Ariza,13
50173,Monterde,0
50174,Montón,4
50175,Morata de Jalón,105
50176,Morata de Jiloca,20
50177,Morés,37
50178,Moros,32
50179,Moyuela,12
50180,Mozota,12
50181,Muel,222
50182,Muela La,1383
50183,Munébrega,31
50184,Murero,6
50185,Murillo de Gállego,26
50186,Navardún,0
50187,Nigüella,2
50188,Nombrevilla,1
50189,Nonaspe,155
50190,Novallas,143
50191,Novillas,66
50192,Nuévalos,60
50193,Nuez de Ebro,156
50194,Olvés,7
50195,Orcajo,2
50196,Orera,12
50197,Orés,12
50198,Oseja,0
50199,Osera de Ebro,53
50200,Paniza,75
50201,Paracuellos de Jiloca,93
50202,Paracuellos de la Ribera,5
50203,Pastriz,236
50204,Pedrola,667
50205,Pedrosas Las,7
50206,Perdiguera,102
50207,Piedratajada,3
50208,Pina de Ebro,480
50209,Pinseque,959
50210,Pintanos Los,0
50211,Plasencia de Jalón,33
50212,Pleitas,2
50213,Plenas,5
50214,Pomer,3
50215,Pozuel de Ariza,1
50216,Pozuelo de Aragón,35
50217,Pradilla de Ebro,62
50218,Puebla de Albortón,7
50219,Puebla de Alfindén La,1682
50220,Puendeluna,0
50221,Purujosa,1
50222,Quinto,316
50223,Remolinos,137
50224,Retascón,1
50225,Ricla,435
50227,Romanos,6
50228,Rueda de Jalón,34
50229,Ruesca,5
50230,Sádaba,159
50231,Salillas de Jalón,34
50232,Salvatierra de Esca,34
50233,Samper del Salz,7
50234,San Martín de la Virgen de Moncayo,41
50235,San Mateo de Gállego,614
50236,Santa Cruz de Grío,3
50237,Santa Cruz de Moncayo,26
50238,Santa Eulalia de Gállego,5
50239,Santed,0
50240,Sástago,148
50241,Sabiñán,75
50242,Sediles,9
50243,Sestrica,29
50244,Sierra de Luna,24
50245,Sigüés,9
50246,Sisamón,0
50247,Sobradiel,229
50248,Sos del Rey Católico,69
50249,Tabuenca,26
50250,Talamantes,7
50251,Tarazona,1907
50252,Tauste,1179
50253,Terrer,31
50254,Tierga,15
50255,Tobed,14
50256,Torralba de los Frailes,2
50257,Torralba de Ribota,8
50258,Torralbilla,3
50259,Torrehermosa,0
50260,Torrelapaja,0
50261,Torrellas,36
50262,Torres de Berrellén,245
50263,Torrijo de la Cañada,9
50264,Tosos,15
50265,Trasmoz,9
50266,Trasobares,1
50267,Uncastillo,61
50268,Undués de Lerda,10
50269,Urrea de Jalón,72
50270,Urriés,1
50271,Used,20
50272,Utebo,4548
50273,Valdehorna,0
50274,Val de San Martín,0
50275,Valmadrid,8
50276,Valpalmas,4
50277,Valtorres,6
50278,Velilla de Ebro,31
50279,Velilla de Jiloca,5
50280,Vera de Moncayo,30
50281,Vierlas,7
50282,Vilueña La,3
50283,Villadoz,11
50284,Villafeliche,19
50285,Villafranca de Ebro,147
50286,Villalba de Perejil,11
50287,Villalengua,33
50288,Villanueva de Gállego,1025
50289,Villanueva de Jiloca,0
50290,Villanueva de Huerva,43
50291,Villar de los Navarros,10
50292,Villarreal de Huerva,40
50293,Villarroya de la Sierra,39
50294,Villarroya del Campo,2
50295,Vistabella,0
50296,Zaida La,50
50297,Zaragoza,120069
50298,Zuera,1696
50901,Biel,1
50902,Marracos,4
50903,Villamayor de Gállego,421
