municipio,cp,superficie
El Frago,50109,33.76
El Frasno,50110,48.64
FrÃ©scano,50111,18.41
Fuendejalón,50113,75.83
Fuendetodos,50114,62
Fuentes de Ebro,50115,141.73
Fuentes de Jiloca,50116,27.35
Gallocanta,50117,29.71
Gallur,50118,41.71
Gelsa,50119,72.04
Godojos,50120,16.77
Gotor,50121,15.52
Grisel,50122,14.51
Grisén,50123,4.75
Herrera de Los Navarros,50124,105.01
Ibdes,50125,56.31
Illueca,50126,24.86
Isuerre,50128,20.05
Jaraba,50129,42.81
Jarque,50130,43
JaulÃ­n,50131,46.05
La Joyosa,50132,6.52
Lagata,50133,23.65
Langa del Castillo,50134,50.13
Layana,50135,3.69
Lécera,50136,109
Leciñena,50137,178.59
Lechón,50138,17.46
Letux,50139,30.15
Litago,50140,15
Lituénigo,50141,11.38
Lobera de Onsella,50142,32.18
Longares,50143,45.96
Longás,50144,49.23
Lucena de JalÃ³n,50146,10.31
Luceni,50147,27.08
Luesia,50148,126.83
Luesma,50149,29
Lumpiaque,50150,29.55
Luna,50151,308.92
Maella,50152,174.88
Magallón,50153,78.61
Mainar,50154,34.02
Malanquilla,50155,36.63
Maleján,50156,0.08
MalÃ³n,50157,5.66
Maluenda,50159,40.09
Mallén,50160,37.42
Manchones,50161,26.83
Mara,50162,21.09
María de Huerva,50163,108.09
Mediana de Aragón,50164,90.57
Mequinenza,50165,307.45
Mesones de Isuela,50166,48.55
Mezalocha,50167,60.64
Mianos,50168,14.82
Miedes de Aragón,50169,55.38
Monegrillo,50170,183.16
Moneva,50171,61
Monreal de Ariza,50172,62.06
Monterde,50173,55.94
MontÃ³n,50174,17.59
Morata de Jalón,50175,45.87
Morata de Jiloca,50176,23.09
MorÃ©s,50177,21.46
Moros,50178,53
Moyuela,50179,42.76
Mozota,50180,8.68
Muel,50181,79.17
La Muela,50182,143.49
Munébrega,50183,40.99
Murero,50184,18.25
Murillo de Gállego,50185,54.71
Navardún,50186,24
NigÃ¼ella,50187,30.42
Nombrevilla,50188,17.56
Nonaspe,50189,111.45
Novallas,50190,11
Novillas,50191,25.28
Nuévalos,50192,41.84
Nuez de Ebro,50193,8.21
Olvés,50194,20.18
Orcajo,50195,28.45
Orera,50196,19.82
Orés,50197,54.52
Oseja,50198,12
Osera de Ebro,50199,24.56
Paniza,50200,47.31
Paracuellos de Jiloca,50201,32
Paracuellos de La Ribera,50202,32
Pastriz,50203,16.52
Pedrola,50204,113.74
Las Pedrosas,50205,18.26
Perdiguera,50206,109.77
Piedratajada,50207,22.66
Pina de Ebro,50208,309.17
Pinseque,50209,16.09
Los Pintanos,50210,79.64
Plasencia de JalÃ³n,50211,34.77
Pleitas,50212,2.14
Plenas,50213,37.95
Pomer,50214,33.11
Pozuel de Ariza,50215,22.63
Pozuelo de Aragón,50216,32.11
Pradilla de Ebro,50217,25.45
Puebla de Albortón,50218,76.31
La Puebla de Alfindén,50219,17.03
Puendeluna,50220,9.88
Purujosa,50221,35.43
Quinto,50222,118.26
Remolinos,50223,18.51
Retascón,50224,25.16
Ricla,50225,90.67
Romanos,50227,19.53
Rueda de Jalón,50228,107.37
Ruesca,50229,11.63
Sádaba,50230,129.55
Salillas de Jalón,50231,2.51
Salvatierra de Esca,50232,81.24
Samper del Salz,50233,11.49
San Martín de La Virgen de Moncayo,50234,5.42
San Mateo de Gállego,50235,71.62
Santa Cruz de GrÃ­o,50236,19.51
Santa Cruz de Moncayo,50237,19.51
Santa Eulalia de Gállego,50238,80.97
Santed,50239,17.81
Sástago,50240,300.98
Saviñan,50241,15.52
Sediles,50242,11.71
Sestrica,50243,40.88
Sierra de Luna,50244,43.39
Sigüés,50245,101.77
Sisamón,50246,41.55
Sobradiel,50247,12.06
Sos del Rey Católico,50248,216.62
Tabuenca,50249,85.72
Talamantes,50250,46.94
Tarazona,50251,244.01
Tauste,50252,405.23
Terrer,50253,33.75
Tierga,50254,66.13
Tobed,50255,32.39
Torralba de Los Frailes,50256,40.39
Torralba de Ribota,50257,40.39
Torralbilla,50258,25.86
Torrehermosa,50259,21.13
Torrelapaja,50260,15.68
Torrellas,50261,2.53
Torres de Berrellén,50262,53.81
Torrijo de La Cañada,50263,74.57
Tosos,50264,68.65
Trasmoz,50265,18.26
Trasobares,50266,71.76
Uncastillo,50267,230.87
Undués de Lerda,50268,42.99
Urrea de JalÃ³n,50269,25.64
Urriés,50270,37.27
Used,50271,85.29
Utebo,50272,17.72
Valdehorna,50273,7.95
Val de San MartÃ­n,50274,25.66
Valmadrid,50275,50.57
Valpalmas,50276,39.79
Valtorres,50277,3.29
Velilla de Ebro,50278,59.79
Velilla de Jiloca,50279,10
Vera de Moncayo,50280,27.66
Vierlas,50281,2.67
La VilueÃ±a,50282,8.61
Villadoz,50283,17.18
Villafeliche,50284,22
Villafranca de Ebro,50285,63.64
Villalba de Perejil,50286,13.33
Villalengua,50287,40.16
Villanueva de Gállego,50288,75.99
Villanueva de Jiloca,50289,75.99
Villanueva de Huerva,50290,75.99
Villar de Los Navarros,50291,49
Villarreal de Huerva,50292,27.13
Villarroya de La Sierra,50293,91
Villarroya del Campo,50294,91
Vistabella,50295,21.82
La Zaida,50296,17.27
Zaragoza,50297,973.78
Zuera,50298,332.25
Biel,50901,130.73
Marracos,50902,16.92
Villamayor de Gállego,50903,89.36
