porcentaje18,year,cp,name,population,percentage65
19.59,1900,50238,Santa Eulalia de Gállego,924,36.50
2.77,1900,50239,Santed,290,35.93
20.80,1900,50240,Sástago,2987,36.17
5.10,1900,50241,Saviñán,1759,40.25
0,1900,50242,Sediles,311,36.53
12.64,1900,50243,Sestrica,1298,37.78
9.47,1900,50244,Sierra de Luna,651,35.21
7.83,1900,50245,Sigüés,1638,44.71
9.48,1900,50246,Sisamón,457,57.50
10.22,1900,50247,Sobradiel,421,19.92
0,1900,50248,Sos del Rey Católico,3596,29.69
21.02,1900,50249,Tabuenca,1379,39.84
11.73,1900,50250,Talamantes,471,24.56
8.04,1900,50251,Tarazona,8939,21.68
11.11,1900,50252,Tauste,4530,21.24
18.14,1900,50253,Terrer,975,41.13
17.05,1900,50254,Tierga,682,32.82
6.39,1900,50255,Tobed,1002,51.29
7.81,1900,50256,Torralba de los Frailes,530,41.11
6.54,1900,50257,Torralba de Ribota,654,46.37
2.32,1900,50258,Torralbilla,393,48.21
4.65,1900,50259,Torrehermosa,258,54.32
4.91,1900,50260,Torrelapaja,310,41.46
0,1900,50261,Torrellas,860,43.77
0,1900,50262,Torres de Berrellén,1136,19.80
14.40,1900,50263,Torrijo de la Cañada,2007,38.84
16.94,1900,50264,Tosos,841,35.08
4.36,1900,50265,Trasmoz,341,30.66
8.33,1900,50266,Trasobares,531,54.28
10.11,1900,50267,Uncastillo,2758,33.87
0.83,1900,50268,Undués de Lerda,485,22.36
9.38,1900,50269,Urrea de Jalón,801,30.07
18.18,1900,50270,Urriés,1111,60.00
17.22,1900,50271,Used,1432,37.98
2.63,1900,50272,Utebo,1382,9.06
7.38,1900,50273,Valdehorna,236,64.70
24.44,1900,50274,Val de San Martín,345,36.36
0,1900,50275,Valmadrid,202,28.81
0,1900,50276,Valpalmas,415,35.18
7.14,1900,50277,Valtorres,293,45.09
2.81,1900,50278,Velilla de Ebro,1027,27.68
8.82,1900,50279,Velilla de Jiloca,486,54.73
14.41,1900,50280,Vera de Moncayo,1329,35.32
5.55,1900,50281,Vierlas,230,36.08
8.33,1900,50282,Vilueña (La),401,38.37
9.45,1900,50283,Villadoz,266,30.76
12.50,1900,50284,Villafeliche,1374,48.74
11.17,1900,50285,Villafranca de Ebro,663,23.83
17.71,1900,50286,Villalba de Perejil,266,29.35
11.11,1900,50287,Villalengua,1384,29.12
10.34,1900,50288,Villanueva de Gállego,1281,13.66
15.61,1900,50289,Villanueva de Jiloca,545,64.06
21.99,1900,50290,Villanueva de Huerva,922,34.81
9.28,1900,50291,Villar de los Navarros,984,42.24
0,1900,50292,Villarreal de Huerva,469,25.79
9.80,1900,50293,Villarroya de la Sierra,2405,41.44
14.59,1900,50294,Villarroya del Campo,229,50.00
8.36,1900,50295,Vistabella,495,33.33
2.94,1900,50296,Zaida (La),446,24.74
3.89,1900,50297,Zaragoza,98397,18.66
0,1900,50298,Zuera,2471,16.14
10.98,1900,50901,Biel,1659,42.42
18.00,1900,50902,Marracos,154,33.33
20.27,1900,50903,Villamayor de Gállego,1894,19.88
,1910,50001,Abanto,672,
,1910,50002,Acered,756,
,1910,50003,Agón,416,
,1910,50004,Aguarón,2271,
,1910,50005,Aguilón,1091,
,1910,50006,Ainzón,1751,
,1910,50007,Aladrén,345,
,1910,50008,Alagón,4082,
,1910,50009,Alarba,428,
,1910,50010,Alberite de San Juan,230,
,1910,50011,Albeta,318,
,1910,50012,Alborge,432,
,1910,50013,Alcalá de Ebro,479,
,1910,50014,Alcalá de Moncayo,409,
,1910,50015,Alconchel de Ariza,718,
,1910,50016,Aldehuela de Liestos,247,
,1910,50017,Alfajarín,1180,
,1910,50018,Alfamén,716,
,1910,50019,Alforque,450,
,1910,50020,Alhama de Aragón,1752,
,1910,50021,Almochuel,133,
,1910,50022,Almolda (La),1253,
,1910,50023,Almonacid de la Cuba,739,
