year,cp,name,population,porcentaje65,porcentaje18
2018,50215,Pozuel de Ariza,21,38.09,4.76
2018,50216,Pozuelo de Aragón,284,29.92,12.32
2018,50217,Pradilla de Ebro,574,30.48,10.80
2018,50218,Puebla de Albortón,120,37.50,5.83
2018,50219,La Puebla de Alfindén,6173,8.52,27.24
2018,50220,Puendeluna,44,40.90,0
2018,50221,Purujosa,36,36.11,2.77
2018,50222,Quinto,1948,23.40,16.22
2018,50223,Remolinos,1081,30.24,12.67
2018,50224,Retascón,74,41.89,1.35
2018,50225,Ricla,2815,17.12,15.45
2018,50227,Romanos,119,50.42,5.04
2018,50228,Rueda de Jalón,325,29.84,10.46
2018,50229,Ruesca,72,25.00,6.94
2018,50230,Sádaba,1324,26.96,12.00
2018,50231,Salillas de Jalón,304,32.56,11.18
2018,50232,Salvatierra de Esca,198,27.27,17.17
2018,50233,Samper del Salz,112,41.96,6.25
2018,50234,San Martín de la Virgen de Moncayo,286,29.02,14.33
2018,50235,San Mateo de Gállego,3134,18.92,19.59
2018,50236,Santa Cruz de Grío,108,40.74,2.77
2018,50237,Santa Cruz de Moncayo,125,21.60,20.80
2018,50238,Santa Eulalia de Gállego,98,29.59,5.10
2018,50239,Santed,61,40.98,0
2018,50240,Sástago,1170,36.58,12.64
2018,50241,Sabiñán,691,35.45,10.85
2018,50242,Sediles,95,45.26,9.47
2018,50243,Sestrica,370,34.86,7.83
2018,50244,Sierra de Luna,253,33.99,9.48
2018,50245,Sigüés,88,46.59,10.22
2018,50246,Sisamón,31,45.16,0
2018,50247,Sobradiel,1089,19.28,21.02
2018,50248,Sos del Rey Católico,588,34.52,11.73
2018,50249,Tabuenca,323,40.24,8.04
2018,50250,Talamantes,63,20.63,11.11
2018,50251,Tarazona,10509,22.74,18.14
2018,50252,Tauste,6914,22.12,17.05
2018,50253,Terrer,485,36.70,6.39
2018,50254,Tierga,192,31.25,7.81
2018,50255,Tobed,214,42.52,6.54
2018,50256,Torralba de los Frailes,86,53.48,2.32
2018,50257,Torralba de Ribota,172,47.67,4.65
2018,50258,Torralbilla,61,49.18,4.91
2018,50259,Torrehermosa,63,66.66,0
2018,50260,Torrelapaja,32,59.37,0
2018,50261,Torrellas,250,37.60,14.40
2018,50262,Torres de Berrellén,1446,21.71,16.94
2018,50263,Torrijo de la Cañada,206,43.20,4.36
2018,50264,Tosos,180,31.11,8.33
2018,50265,Trasmoz,89,30.33,10.11
2018,50266,Trasobares,120,58.33,0.83
2018,50267,Uncastillo,650,32.92,9.38
2018,50268,Undués de Lerda,55,23.63,18.18
2018,50269,Urrea de Jalón,418,29.42,17.22
2018,50270,Urriés,38,60.52,2.63
2018,50271,Used,271,38.37,7.38
2018,50272,Utebo,18602,11.82,24.44
2018,50273,Valdehorna,30,53.33,0
2018,50274,Val de San Martín,64,39.06,0
2018,50275,Valmadrid,112,47.32,7.14
2018,50276,Valpalmas,142,36.61,2.81
2018,50277,Valtorres,68,42.64,8.82
2018,50278,Velilla de Ebro,215,27.90,14.41
2018,50279,Velilla de Jiloca,90,41.11,5.55
2018,50280,Vera de Moncayo,360,37.22,8.33
2018,50281,Vierlas,74,36.48,9.45
2018,50282,La Vilueña,77,40.25,3.89
2018,50283,Villadoz,88,38.63,12.50
2018,50284,Villafeliche,170,41.17,11.17
2018,50285,Villafranca de Ebro,830,21.44,17.71
2018,50286,Villalba de Perejil,99,31.31,11.11
2018,50287,Villalengua,319,29.78,10.34
2018,50288,Villanueva de Gállego,4661,15.06,21.99
2018,50289,Villanueva de Jiloca,46,52.17,0
2018,50290,Villanueva de Huerva,463,33.04,9.28
2018,50291,Villar de los Navarros,102,38.23,9.80
2018,50292,Villarreal de Huerva,274,18.61,14.59
2018,50293,Villarroya de la Sierra,466,40.77,8.36
2018,50294,Villarroya del Campo,68,48.52,2.94
2018,50295,Vistabella,49,44.89,0
2018,50296,La Zaida,455,26.81,10.98
2018,50297,Zaragoza,666880,21.20,18.00
2018,50298,Zuera,8365,15.12,20.27
2018,50901,Biel,140,42.14,0.71
2018,50902,Marracos,86,38.37,4.65
2018,50903,Villamayor de Gállego,2696,21.62,15.61
