cp,municipio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
50257,Torralba de Ribota,0,0,0,0,0,1,0,1,0,2,1,0,0,2,1,0,0,0,0
50258,Torralbilla,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
50259,Torrehermosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50260,Torrelapaja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50261,Torrellas,1,3,1,0,4,1,3,4,1,2,1,4,3,3,1,1,0,0,3
50262,Torres de Berrellén,8,7,10,8,19,12,17,27,14,17,16,15,8,8,15,14,9,12,9
50263,Torrijo de la Cañada,2,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1
50264,Tosos,0,0,0,0,0,0,1,1,1,2,2,0,0,0,1,3,0,2,2
50265,Trasmoz,0,0,0,0,0,0,0,1,3,0,0,2,1,2,0,0,0,0,0
50266,Trasobares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50267,Uncastillo,1,3,0,0,0,3,2,2,4,5,2,5,6,3,5,4,4,7,5
50268,Undués de Lerda,0,0,2,1,0,0,2,1,0,0,0,0,0,1,0,0,2,0,1
50269,Urrea de Jalón,3,5,4,4,4,5,6,4,3,3,4,5,4,3,4,1,2,6,2
50270,Urriés,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50271,Used,0,2,0,1,1,1,0,0,1,0,1,0,2,3,0,1,1,4,2
50272,Utebo,168,153,195,190,223,254,250,283,303,294,302,278,256,292,278,213,214,182,220
50274,Val de San Martín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50273,Valdehorna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50275,Valmadrid,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1
50276,Valpalmas,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
50277,Valtorres,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
50278,Velilla de Ebro,1,0,0,1,4,1,1,1,4,3,3,0,0,3,4,3,1,0,1
50279,Velilla de Jiloca,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1
50280,Vera de Moncayo,2,0,1,2,3,3,1,1,1,1,1,0,2,2,3,1,3,1,2
50281,Vierlas,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,1
50283,Villadoz,1,1,1,0,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0
50284,Villafeliche,0,0,0,0,0,1,2,0,1,0,0,1,1,0,3,2,4,4,0
50285,Villafranca de Ebro,10,7,3,5,5,5,8,10,4,7,8,9,9,13,6,8,13,9,8
50286,Villalba de Perejil,0,0,1,1,1,0,2,1,0,0,0,1,0,1,2,0,1,0,0
50287,Villalengua,1,0,0,0,1,3,6,2,2,2,3,3,0,1,1,1,2,3,2
50903,Villamayor de Gállego,17,13,11,17,20,9,14,19,23,30,21,21,28,20,22,35,45,28,28
50288,Villanueva de Gállego,25,22,44,54,41,41,52,52,55,61,70,83,55,69,67,64,63,52,55
50290,Villanueva de Huerva,2,2,1,0,2,1,1,3,5,1,4,2,1,3,5,3,4,3,0
50289,Villanueva de Jiloca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50291,Villar de los Navarros,1,0,0,0,0,0,0,4,0,0,1,0,0,1,0,2,0,1,0
50292,Villarreal de Huerva,3,6,1,2,2,2,1,3,3,1,2,0,2,1,3,1,4,1,2
50293,Villarroya de la Sierra,1,4,0,1,1,4,1,0,1,1,4,2,2,2,3,2,2,3,5
50294,Villarroya del Campo,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
