cp,name,percentage,dosmildiecinueve,dosmildieciocho
44100,Estercuel,-3.33,203,210
44101,Ferreruela de Huerva,-11.11,56,63
44102,Fonfría,-3.57,27,28
44103,Formiche Alto,-6.62,141,151
44105,Fórnoles,6.66,80,75
44106,Fortanete,0,205,205
44107,Foz-Calanda,2.94,245,238
44108,Fresneda La,-1.12,438,443
44109,Frías de Albarracín,-0.86,115,116
44110,Fuenferrada,-11.90,37,42
44111,Fuentes Calientes,-8.91,92,101
44112,Fuentes Claras,0,461,461
44113,Fuentes de Rubielos,3.50,118,114
44114,Fuentespalda,-0.69,284,286
44115,Galve,0.62,162,161
44116,Gargallo,4.49,93,89
44117,Gea de Albarracín,-4.25,360,376
44118,Ginebrosa La,-3.00,194,200
44119,Griegos,-4.89,136,143
44120,Guadalaviar,-0.41,241,242
44121,Gúdar,5.55,76,72
44122,Híjar,0.70,1721,1709
44123,Hinojosa de Jarque,-6.72,111,119
44124,Hoz de la Vieja La,-2.35,83,85
44125,Huesa del Común,8.95,73,67
44126,Iglesuela del Cid La,-0.96,410,414
44127,Jabaloyas,-3.07,63,65
44128,Jarque de la Val,-5.71,66,70
44129,Jatiel,-7.50,37,40
44130,Jorcas,-11.76,30,34
44131,Josa,0,34,34
44132,Lagueruela,-6.41,73,78
44133,Lanzuela,-8.33,22,24
44135,Libros,0.99,102,101
44136,Lidón,3.63,57,55
44137,Linares de Mora,-6.02,234,249
44138,Loscos,-5.42,122,172
44141,Lledó,-7.55,159,129
44142,Maicas,3.70,28,27
44143,Manzanera,2.31,531,519
44144,Martín del Río,-3.83,401,417
44145,Mas de las Matas,-0.78,1262,1272
44146,Mata de los Olmos La,-3.01,257,265
44147,Mazaleón,-3.15,522,539
44148,Mezquita de Jarque,-2.04,96,98
44149,Mirambel,0,116,116
44150,Miravete de la Sierra,-11.42,31,35
44151,Molinos,-1.64,239,243
44152,Monforte de Moyuela,3.07,67,65
44153,Monreal del Campo,0.04,2434,2433
44154,Monroyo,0,340,340
44155,Montalbán,-.80,1233,1243
44156,Monteagudo del Castillo,8.00,54,50
44157,Monterde de Albarracín,1.58,64,63
44158,Mora de Rubielos,0.45,1548,1541
44159,Moscardón,-1.81,54,55
44160,Mosqueruela,-2.54,537,551
44161,Muniesa,-2.67,583,599
44163,Noguera de Albarracín,5.26,140,133
44164,Nogueras,-12.00,22,25
44165,Nogueruelas,0,217,217
44167,Obón,-2.22,44,45
44168,Odón,0.48,206,205
44169,Ojos Negros,-4.50,360,377
44171,Olba,0.88,228,226
44172,Oliete,-3.57,351,364
44173,Olmos Los,-1.63,120,122
44174,Orihuela del Tremedal,-4.92,463,487
44175,Orrios,-0.79,125,126
44176,Palomar de Arroyos,-0.59,168,169
44177,Pancrudo,2.72,113,110
44178,Parras de Castellote Las,3.77,55,53
44179,Peñarroya de Tastavins,0,439,439
44180,Peracense,1.31,77,76
44181,Peralejos,-10.22,79,88
44182,Perales del Alfambra,3.61,229,221
44183,Pitarque,-7.59,73,79
44184,Plou,0,43,43
44185,Pobo El,-3.50,110,114
44187,Portellada La,-3.29,235,243
44189,Pozondón,4.16,50,48
44190,Pozuel del Campo,-4.41,65,68
44191,Puebla de Híjar La,-1.21,897,908
44192,Puebla de Valverde La,0.88,457,453
44193,Puertomingalvo,-2.67,109,112
44194,Ráfales,-3.49,138,143
44195,Rillo,-5.37,88,93
44196,Riodeva,-1.38,142,144
44197,Ródenas,3.27,63,61
44198,Royuela,-0.97,204,206
44199,Rubiales,4.00,52,50
44200,Rubielos de la Cérida,2.63,39,38
44201,Rubielos de Mora,-0.95,621,627
44203,Salcedillo,-17.64,14,17
44204,Saldón,3.84,27,26
44205,Samper de Calanda,-3.57,755,783
44206,San Agustín,-4.80,119,125
44207,San Martín del Río,-7.43,137,148
44208,Santa Cruz de Nogueras,-21.62,29,37
44209,Santa Eulalia,2.31,1061,1037
44210,Sarrión,-0.44,1128,1133
44211,Segura de los Baños,-2.56,38,39
44212,Seno,10.25,43,39
44213,Singra,-6.25,75,80
44215,Terriente,0,183,183
44216,Teruel,0.55,35890,35691
44217,Toril y Masegoso,6.66,32,30
44218,Tormón,-3.22,30,31
44219,Tornos,-3.28,206,213
44220,Torralba de los Sisones,-0.64,155,156
44221,Torrecilla de Alcañiz,2.36,433,89
44222,Torrecilla del Rebollar,-2.36,124,28
44223,Torre de Arcas,1.12,90,132
44224,Torre de las Arcas,0,28,88
44225,Torre del Compte,-9.09,120,423
44226,Torrelacárcel,-1.94,151,127
44227,Torre los Negros,-4.54,84,154
44228,Torremocha de Jiloca,1.86,109,107
44229,Torres de Albarracín,-1.63,180,183
44230,Torrevelilla,-1.58,186,189
44231,Torrijas,7.89,41,38
44232,Torrijo del Campo,1.78,455,447
44234,Tramacastiel,12.50,72,64
44235,Tramacastilla,-2.83,103,106
44236,Tronchón,3.07,67,65
44237,Urrea de Gaén,-0.22,435,436
44238,Utrillas,0.26,2978,2970
44239,Valacloche,4.76,22,21
44240,Valbona,-4.02,167,174
44241,Valdealgorfa,-1.60,612,622
44243,Valdecuenca,-2.85,34,35
44244,Valdelinares,1.14,88,87
44245,Valdeltormo,1.43,283,279
44246,Valderrobres,1.54,2425,2388
44247,Valjunquera,1.53,330,325
44249,Vallecillo El,-2.08,47,48
44250,Veguillas de la Sierra,-5.00,19,20
44251,Villafranca del Campo,0.33,298,297
44252,Villahermosa del Campo,-5.31,89,94
44256,Villanueva del Rebollar de la Sierra,-17.02,39,47
44257,Villar del Cobo,0,164,164
44258,Villar del Salz,-8.33,55,60
44260,Villarluengo,-3.95,170,177
44261,Villarquemado,0.11,863,862
44262,Villarroya de los Pinares,7.50,172,160
44263,Villastar,2.22,505,494
44264,Villel,0.61,329,327
44265,Vinaceite,0.80,251,249
44266,Visiedo,-4.80,119,125
44267,Vivel del Río Martín,-7.59,73,79
44268,Zoma La,106.25,33,16
