year,cp,name,population,mayor,menor
2022,22067,Bonansa,91,25.27,13.18
2022,22068,Borau,90,26.66,8.88
2022,22069,Broto,577,20.45,11.61
2022,22072,Caldearenas,241,31.95,10.37
2022,22074,Campo,460,21.73,10.65
2022,22075,Camporrélls,136,43.38,4.41
2022,22076,Canal de Berdún,346,36.99,5.78
2022,22077,Candasnos,396,34.09,8.83
2022,22078,Canfranc,612,15.19,10.78
2022,22079,Capdesaso,204,23.03,4.90
2022,22080,Capella,352,29.54,10.51
2022,22081,Casbas de Huesca,301,35.54,3.98
2022,22083,Castejón de Monegros,512,37.69,6.64
2022,22084,Castejón de Sos,805,16.39,13.04
2022,22082,Castejón del Puente,333,30.63,9.00
2022,22085,Castelflorite,100,41.00,5.00
2022,22086,Castiello de Jaca,249,19.27,10.84
2022,22087,Castigaleu,88,21.59,15.90
2022,22088,Castillazuelo,164,32.31,7.31
2022,22089,Castillonroy,328,28.96,11.58
2022,22094,Chalamera,117,32.47,11.96
2022,22095,Chía,87,27.58,14.94
2022,22096,Chimillas,402,21.14,14.92
2022,22090,Colungo,123,35.77,8.13
2022,22099,Esplús,656,27.89,10.21
2022,22102,Estada,206,32.03,6.79
2022,22103,Estadilla,812,28.20,12.19
2022,22105,Estopiñán del Castillo,117,31.62,7.69
2022,22106,Fago,25,36.00,0
2022,22107,Fanlo,106,33.96,7.54
2022,22109,Fiscal,361,22.71,12.46
2022,22110,Fonz,857,33.02,8.86
2022,22111,Foradada del Toscar,168,34.52,6.54
2022,22112,Fraga,15294,17.56,17.06
2022,22113,La Fueva,609,28.89,15.27
2022,22114,Gistaín,129,40.31,10.07
2022,22115,El Grado,405,33.58,7.65
2022,22116,Grañén,1727,26.34,11.98
2022,22117,Graus,3420,23.71,13.33
2022,22119,Gurrea de Gállego,1460,34.72,9.65
2022,22122,Hoz de Jaca,77,28.57,2.59
2022,22908,Hoz y Costean,240,34.16,7.50
2022,22124,Huerto,230,28.69,10.00
2022,22125,Huesca,53305,21.15,15.92
2022,22126,Ibieca,110,42.72,2.72
2022,22127,Igriés,703,11.80,19.34
2022,22128,Ilche,188,39.36,2.65
2022,22129,Isábena,239,31.38,5.02
2022,22130,Jaca,13437,19.61,14.48
2022,22131,Jasa,105,25.71,11.42
2022,22133,Labuerda,146,22.60,13.69
2022,22135,Laluenga,202,32.67,8.91
2022,22136,Lalueza,888,34.79,7.65
2022,22137,Lanaja,1189,32.21,7.82
2022,22139,Laperdiguera,95,34.73,4.21
2022,22141,Lascellas-Ponzano,135,25.18,10.37
2022,22142,Lascuarre,141,29.07,13.47
2022,22143,Laspaúles,228,32.45,6.57
2022,22144,Laspuña,286,34.61,9.44
2022,22149,Loarre,353,33.71,5.94
2022,22150,Loporzano,574,32.92,7.66
2022,22151,Loscorrales,98,27.55,13.26
2022,22905,Lupiñén-Ortilla,354,26.27,10.73
2022,22155,Monesma y Cajigar,66,40.90,3.03
2022,22156,Monflorite-Lascasas,442,13.12,21.71
2022,22157,Montanuy,224,28.57,4.01
2022,22158,Monzón,17650,18.97,16.67
2022,22160,Naval,263,25.85,12.16
2022,22162,Novales,155,23.87,10.96
2022,22163,Nueno,584,24.14,15.92
2022,22164,Olvena,67,43.28,16.41
2022,22165,Ontiñena,514,31.51,6.61
2022,22167,Osso de Cinca,650,27.23,8.61
2022,22168,Palo,30,36.66,6.66
2022,22170,Panticosa,887,16.68,10.14
2022,22172,Peñalba,757,23.51,8.19
2022,22173,Las Peñas de Riglos,260,26.92,6.53
2022,22174,Peralta de Alcofea,596,33.55,8.22
2022,22175,Peralta de Calasanz,221,37.10,8.14
2022,22176,Peraltilla,223,26.90,13.00
2022,22177,Perarrúa,108,34.25,11.11
2022,22178,Pertusa,125,36.00,6.40
2022,22181,Piracés,95,30.52,9.47
2022,22182,Plan,283,30.38,10.60
2022,22184,Poleñino,193,33.16,9.84
2022,22186,Pozán de Vero,241,30.29,16.18
2022,22187,La Puebla de Castro,415,20.48,13.97
2022,22188,Puente de Montañana,94,39.36,5.31
2022,22902,Puente la Reina de Jaca,261,28.73,10.34
2022,22189,Puértolas,216,27.31,13.42
2022,22190,El Pueyo de Araguás,168,24.40,14.28
2022,22193,Pueyo de Santa Cruz,318,28.61,10.69
2022,22195,Quicena,295,17.96,11.52
2022,22197,Robres,537,30.54,11.17
2022,22199,Sabiñánigo,9371,22.81,13.49
2022,22200,Sahún,308,23.37,12.66
2022,22201,Salas Altas,316,36.07,9.49
2022,22202,Salas Bajas,190,23.68,11.05
2022,22203,Salillas,102,37.25,7.84
2022,22204,Sallent de Gállego,1557,15.92,13.16
2022,22205,San Esteban de Litera,586,31.22,10.40
2022,22207,San Juan de Plan,158,21.51,15.18
2022,22903,San Miguel del Cinca,801,26.21,13.23
2022,22206,Sangarrén,219,40.18,5.93
2022,22208,Santa Cilia,254,18.50,16.53
2022,22209,Santa Cruz de la Serós,194,23.71,10.30
2022,22906,Santa María de Dulcis,201,33.33,9.45
2022,22212,Santaliestra y San Quílez,79,43.03,6.32
2022,22213,Sariñena,4164,22.07,14.76
2022,22214,Secastilla,151,26.49,11.92
2022,22215,Seira,159,30.81,8.80
2022,22217,Sena,496,30.24,12.09
2022,22218,Senés de Alcubierre,46,32.60,2.17
2022,22220,Sesa,160,38.12,3.75
2022,22221,Sesué,128,12.50,19.53
2022,22222,Siétamo,697,17.50,16.06
2022,22223,Sopeira,93,30.10,6.45
2022,22904,La Sotonera,919,32.42,8.81
2022,22225,Tamarite de Litera,3445,25.92,13.52
2022,22226,Tardienta,937,28.49,14.40
2022,22227,Tella-Sin,228,37.28,4.82
2022,22228,Tierz,822,9.12,23.72
2022,22229,Tolva,132,31.81,7.57
2022,22230,Torla-Ordesa,307,30.94,3.58
2022,22232,Torralba de Aragón,105,25.71,10.47
2022,22233,Torre la Ribera,101,28.71,9.90
2022,22234,Torrente de Cinca,1151,23.28,10.25
2022,22235,Torres de Alcanadre,85,43.52,2.35
2022,22236,Torres de Barbués,256,30.46,6.64
2022,22239,Tramaced,110,32.72,8.18
2022,22242,Valfarta,58,39.65,1.72
2022,22243,Valle de Bardají,58,27.58,0
2022,22901,Valle de Hecho,810,29.87,7.77
2022,22244,Valle de Lierp,53,35.84,9.43
2022,22245,Velilla de Cinca,476,23.31,12.18
2022,22909,Vencillón,415,26.98,12.28
2022,22247,Viacamp y Litera,39,23.07,0
2022,22248,Vicién,128,28.90,4.68
2022,22249,Villanova,170,17.05,17.64
2022,22250,Villanúa,560,18.03,14.10
2022,22251,Villanueva de Sigena,370,25.13,8.37
2022,22252,Yebra de Basa,154,28.57,13.63
2022,22253,Yésero,58,48.27,3.44
2022,22254,Zaidín,1872,21.47,11.27
