cp,nombre,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
22160,Naval,4,2,1,1,3,2,2,1,3,2,3,4,1,0,3,2,1,2,0
22162,Novales,2,0,0,1,3,1,0,1,0,1,1,3,0,1,0,2,2,0,0
22163,Nueno,3,5,6,2,5,7,1,6,11,6,8,8,4,6,5,4,3,5,5
22164,Olvena,0,1,0,1,0,0,1,1,0,1,0,2,0,1,0,2,0,0,0
22165,Ontiñena,4,0,1,4,3,2,3,3,0,3,2,5,2,1,1,5,2,5,7
22167,Osso de Cinca,3,4,5,4,7,4,3,7,2,1,6,3,1,4,5,5,1,4,7
22168,Palo,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22170,Panticosa,6,9,8,4,10,2,7,2,2,4,3,2,7,7,5,12,6,9,10
22172,Peñalba,0,3,4,3,5,6,3,3,4,6,0,5,5,4,2,6,6,2,6
22173,Peñas de Riglos Las,0,1,1,2,3,2,1,1,0,3,0,1,1,1,0,0,1,4,1
22174,Peralta de Alcofea,2,0,3,2,5,3,1,1,3,6,2,2,4,1,1,3,5,1,4
22175,Peralta de Calasanz,0,1,0,0,1,3,1,3,1,1,0,2,2,0,0,0,0,2,1
22176,Peraltilla,0,2,3,1,4,1,3,2,1,0,1,0,0,0,0,0,3,1,1
22177,Perarrúa,2,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1
22178,Pertusa,1,0,0,0,0,0,1,1,0,0,0,0,1,1,2,1,0,2,0
22181,Piracés,0,0,0,0,0,1,1,1,0,1,0,1,0,2,0,1,1,0,1
22182,Plan,1,2,0,0,3,2,2,1,2,2,7,3,4,3,0,8,2,0,2
22184,Poleñino,1,1,3,1,2,1,0,1,3,1,1,0,1,1,1,1,1,0,0
22186,Pozán de Vero,2,1,3,1,2,1,4,1,4,3,1,2,1,1,1,0,1,1,0
22187,Puebla de Castro La,2,3,0,3,3,6,2,4,6,3,4,2,7,1,1,5,4,3,5
22188,Puente de Montañana,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2
22189,Puértolas,3,3,2,1,3,0,3,1,3,1,0,2,0,1,0,0,3,1,0
22190,Pueyo de Araguás El,1,0,1,0,2,2,1,3,2,1,4,1,3,0,3,2,1,2,3
22193,Pueyo de Santa Cruz,1,2,2,3,2,2,3,2,1,4,1,1,3,3,1,0,3,1,6
22195,Quicena,0,0,2,1,0,3,1,1,5,4,3,2,2,3,5,2,10,1,2
22197,Robres,2,2,5,5,6,5,2,2,4,2,4,5,1,1,4,5,2,4,0
22199,Sabiñánigo,70,72,69,72,79,81,86,79,89,98,89,93,85,72,72,97,100,68,98
22200,Sahún,1,2,4,0,1,1,4,3,5,2,2,5,5,1,4,2,3,1,2
22201,Salas Altas,2,2,2,3,2,1,3,4,1,2,2,1,1,1,1,2,1,1,6
22202,Salas Bajas,0,2,1,3,0,0,2,3,1,1,2,1,0,1,3,1,1,1,0
22203,Salillas,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
22204,Sallent de Gállego,11,10,11,10,9,7,20,11,18,18,21,13,18,16,11,9,19,9,15
22205,San Esteban de Litera,1,1,5,3,3,1,2,3,3,3,3,1,1,2,1,2,2,2,5
22206,Sangarrén,1,0,0,0,1,2,0,0,1,0,2,2,1,1,1,1,0,0,1
22207,San Juan de Plan,2,1,2,3,1,1,1,2,1,2,1,1,2,1,0,2,2,0,0
22208,Santa Cilia,5,3,1,3,2,4,3,2,1,5,0,2,1,2,0,3,5,3,1
22209,Santa Cruz de la Serós,2,0,1,0,2,0,3,0,1,1,0,1,0,2,3,1,0,0,4
22212,Santaliestra y San Quílez,0,3,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0
22213,Sariñena,43,38,36,28,30,28,31,39,41,36,36,35,49,41,47,32,29,32,45
22214,Secastilla,2,0,1,2,1,0,0,0,3,1,2,1,1,0,2,0,0,1,0
22215,Seira,1,0,0,0,1,1,1,2,0,1,1,0,0,2,0,0,1,0,0
22217,Sena,0,0,2,5,4,4,2,5,5,2,4,2,3,5,5,0,3,6,4
22218,Senés de Alcubierre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
22220,Sesa,0,1,0,0,1,0,0,0,0,0,1,1,1,3,0,2,0,0,1
22221,Sesué,1,1,1,0,2,4,6,0,2,3,0,2,1,1,0,0,2,0,1
22222,Siétamo,5,7,6,7,10,6,4,5,5,10,5,8,8,11,7,10,8,7,5
22223,Sopeira,0,0,0,0,0,1,1,0,1,2,1,1,0,0,2,2,1,0,3
22225,Tamarite de Litera,23,24,22,30,24,23,36,40,28,35,42,29,41,26,28,28,35,33,28
22226,Tardienta,4,6,10,7,14,9,9,9,7,12,5,10,5,1,6,4,6,8,9
22227,Tella-Sin,0,0,1,1,0,2,1,0,2,0,0,0,1,1,0,0,1,1,3
22228,Tierz,5,7,8,8,15,13,14,10,22,18,18,14,15,12,6,11,9,10,6
22229,Tolva,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1
22230,Torla-Ordesa,0,1,2,0,1,1,0,1,0,0,0,0,2,2,3,2,2,3,2
22232,Torralba de Aragón,0,1,0,0,1,0,0,1,1,0,0,2,0,0,1,0,0,0,1
22233,Torre la Ribera,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,1,2,0,0
22234,Torrente de Cinca,5,3,3,3,7,1,7,6,6,13,12,9,12,12,6,10,2,3,3
22235,Torres de Alcanadre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22236,Torres de Barbués,0,1,1,1,0,2,1,2,0,1,0,1,1,0,0,2,1,0,0
22239,Tramaced,0,0,0,0,0,1,0,2,0,1,0,1,0,1,1,0,0,0,0
22242,Valfarta,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1
22243,Valle de Bardají,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22244,Valle de Lierp,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
22245,Velilla de Cinca,2,9,1,2,5,4,5,0,2,5,1,6,2,9,4,6,4,6,6
22246,Beranuy,0,1,0,1,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0
22247,Viacamp y Litera,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22248,Vicién,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1
22249,Villanova,1,1,2,0,1,5,1,0,3,2,6,4,1,4,1,5,1,2,0
22250,Villanúa,3,5,5,5,4,3,3,2,4,3,2,7,3,2,2,3,2,1,3
22251,Villanueva de Sigena,2,2,0,2,1,1,0,0,2,0,1,1,4,5,2,4,6,2,4
22252,Yebra de Basa,1,1,1,2,3,1,0,2,0,1,1,1,1,2,0,0,1,0,0
22253,Yésero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
22254,Zaidín,16,12,11,8,17,9,10,10,15,13,10,15,19,13,16,11,22,17,21
22901,Valle de Hecho,1,5,5,7,0,0,6,3,5,7,4,4,8,4,12,3,8,7,7
22902,Puente la Reina de Jaca,0,1,3,0,1,4,2,3,2,2,2,3,3,1,1,4,2,1,1
22903,San Miguel del Cinca,7,10,6,6,8,9,8,7,6,5,4,5,3,5,9,5,6,9,9
22904,Sotonera La,2,4,3,3,6,4,3,6,2,8,10,7,9,4,5,6,6,1,6
22905,Lupiñén-Ortilla,2,0,3,1,2,1,2,6,4,2,3,5,2,1,0,1,6,4,3
22906,Santa María de Dulcis,0,0,1,0,2,2,0,1,1,3,1,1,1,3,0,0,3,4,0
22907,Aínsa-Sobrarbe,19,20,26,34,20,15,21,26,22,24,27,24,13,20,13,16,26,29,9
22908,Hoz y Costean,1,3,0,0,2,0,1,1,3,0,1,2,2,2,1,2,1,2,0
22909,Vencillón,2,0,1,3,2,3,3,7,2,8,6,2,5,9,4,8,2,3,6
