municipio,cp,superficie,densidad
Isuerre,50128,20.05,1.54
Jaraba,50129,42.81,6.54
Jarque,50130,43,10.13
Jaulín,50131,46.05,5.14
La Joyosa,50132,6.52,164.41
Lagata,50133,23.65,4.69
Langa del Castillo,50134,50.13,2.63
Layana,50135,3.69,27.10
Lécera,50136,109,6.06
Leciñena,50137,178.59,6.50
Lechón,50138,17.46,3.03
Letux,50139,30.15,11.34
Litago,50140,15,11.06
Lituénigo,50141,11.38,11.15
Lobera de Onsella,50142,32.18,0.87
Longares,50143,45.96,16.60
Longás,50144,49.23,0.71
Lucena de Jalón,50146,10.31,22.98
Luceni,50147,27.08,34.89
Luesia,50148,126.83,2.44
Luesma,50149,29,1.17
Lumpiaque,50150,29.55,27.98
Luna,50151,308.92,2.26
Maella,50152,174.88,11.47
Magallón,50153,78.61,14.41
Mainar,50154,34.02,4.43
Malanquilla,50155,36.63,2.73
Maleján,50156,0.08,3237.50
Malón,50157,5.66,57.06
Maluenda,50159,40.09,23.49
Mallén,50160,37.42,82.38
Manchones,50161,26.83,3.65
Mara,50162,21.09,8.58
María de Huerva,50163,108.09,52.39
Mediana de Aragón,50164,90.57,5.13
Mequinenza,50165,307.45,7.48
Mesones de Isuela,50166,48.55,5.58
Mezalocha,50167,60.64,3.95
Mianos,50168,14.82,2.15
Miedes de Aragón,50169,55.38,7.80
Monegrillo,50170,183.16,2.25
Moneva,50171,61,1.54
Monreal de Ariza,50172,62.06,3.41
Monterde,50173,55.94,2.84
Montón,50174,17.59,5.34
Morata de Jalón,50175,45.87,23.91
Morata de Jiloca,50176,23.09,12.21
Morés,50177,21.46,15.56
Moros,50178,53,6.83
Moyuela,50179,42.76,5.72
Mozota,50180,8.68,14.97
Muel,50181,79.17,16.83
La Muela,50182,143.49,38.18
Munébrega,50183,40.99,9.39
Murero,50184,18.25,5.86
Murillo de Gállego,50185,54.71,3.18
Navardún,50186,24,1.66
Nigüella,50187,30.42,2.16
Nombrevilla,50188,17.56,1.65
Nonaspe,50189,111.45,8.63
Novallas,50190,11,77.27
Novillas,50191,25.28,21.36
Nuévalos,50192,41.84,7.76
Nuez de Ebro,50193,8.21,100.73
Olvés,50194,20.18,5.25
Orcajo,50195,28.45,2.07
Orera,50196,19.82,5.95
Orés,50197,54.52,1.90
Oseja,50198,12,4.33
Osera de Ebro,50199,24.56,16.08
Paniza,50200,47.31,13.40
Paracuellos de Jiloca,50201,32,18.78
Paracuellos de La Ribera,50202,32,4.93
Pastriz,50203,16.52,78.26
Pedrola,50204,113.74,30.85
Las Pedrosas,50205,18.26,4.92
Perdiguera,50206,109.77,5.25
Piedratajada,50207,22.66,4.28
Pina de Ebro,50208,309.17,7.67
Pinseque,50209,16.09,242.88
Los Pintanos,50210,79.64,0.46
Plasencia de Jalón,50211,34.77,8.71
Pleitas,50212,2.14,16.82
Plenas,50213,37.95,2.66
Pomer,50214,33.11,0.66
Pozuel de Ariza,50215,22.63,0.92
Pozuelo de Aragón,50216,32.11,8.84
Pradilla de Ebro,50217,25.45,22.55
Puebla de Albortón,50218,76.31,1.57
La Puebla de Alfindén,50219,17.03,362.47
Puendeluna,50220,9.88,4.45
Purujosa,50221,35.43,1.01
Quinto,50222,118.26,16.47
Remolinos,50223,18.51,58.40
Retascón,50224,25.16,2.94
Ricla,50225,90.67,31.04
Romanos,50227,19.53,6.09
Rueda de Jalón,50228,107.37,3.02
Ruesca,50229,11.63,6.19
Sádaba,50230,129.55,10.21
Salillas de Jalón,50231,2.51,121.11
Salvatierra de Esca,50232,81.24,2.43
Samper del Salz,50233,11.49,9.74
San Martín de La Virgen de Moncayo,50234,5.42,52.76
San Mateo de Gállego,50235,71.62,43.75
Santa Cruz de Grío,50236,19.51,5.53
Santa Cruz de Moncayo,50237,19.51,6.40
Santa Eulalia de Gállego,50238,80.97,1.21
Santed,50239,17.81,3.42
Sástago,50240,300.98,3.88
Saviñan,50241,15.52,44.52
Sediles,50242,11.71,8.11
Sestrica,50243,40.88,9.05
Sierra de Luna,50244,43.39,5.83
Sigüés,50245,101.77,0.86
Sisamón,50246,41.55,0.74
Sobradiel,50247,12.06,90.29
Sos del Rey Católico,50248,216.62,2.71
Tabuenca,50249,85.72,3.76
Talamantes,50250,46.94,1.34
Tarazona,50251,244.01,43.06
Tauste,50252,405.23,17.06
Terrer,50253,33.75,14.37
Tierga,50254,66.13,2.90
Tobed,50255,32.39,6.60
Torralba de Los Frailes,50256,40.39,2.12
Torralba de Ribota,50257,40.39,4.25
Torralbilla,50258,25.86,2.35
Torrehermosa,50259,21.13,2.98
Torrelapaja,50260,15.68,2.04
Torrellas,50261,2.53,98.81
Torres de Berrellén,50262,53.81,26.87
Torrijo de La Cañada,50263,74.57,2.76
Tosos,50264,68.65,2.62
Trasmoz,50265,18.26,4.87
Trasobares,50266,71.76,1.67
Uncastillo,50267,230.87,2.81
Undués de Lerda,50268,42.99,1.27
Urrea de Jalón,50269,25.64,16.30
Urriés,50270,37.27,1.01
Used,50271,85.29,3.17
Utebo,50272,17.72,1049.77
Valdehorna,50273,7.95,3.77
Val de San Martín,50274,25.66,2.49
Valmadrid,50275,50.57,2.21
Valpalmas,50276,39.79,3.56
Valtorres,50277,3.29,20.66
Velilla de Ebro,50278,59.79,3.59
Velilla de Jiloca,50279,10,9.00
Vera de Moncayo,50280,27.66,13.01
Vierlas,50281,2.67,27.71
La Vilueña,50282,8.61,8.94
Villadoz,50283,17.18,5.12
Villafeliche,50284,22,7.72
Villafranca de Ebro,50285,63.64,13.04
Villalba de Perejil,50286,13.33,7.42
Villalengua,50287,40.16,7.94
Villanueva de Gállego,50288,75.99,61.33
Villanueva de Jiloca,50289,75.99,0.60
Villanueva de Huerva,50290,75.99,6.09
Villar de Los Navarros,50291,49,2.08
Villarreal de Huerva,50292,27.13,10.09
Villarroya de La Sierra,50293,91,5.12
Villarroya del Campo,50294,91,0.74
Vistabella,50295,21.82,2.24
La Zaida,50296,17.27,26.34
Zaragoza,50297,973.78,684.83
Zuera,50298,332.25,25.17
Biel,50901,130.73,1.07
Marracos,50902,16.92,5.08
Villamayor de Gállego,50903,89.36,30.17
