municipio,cp,superficie,densidad,posicion
Aguilar del Alfambra,44005,39.04,1.61,208
AlacÃ³n,44006,47,5.61,209
Alba,44007,69.53,2.56,210
Albalate del Arzobispo,44008,205.69,9.74,211
Albarracín,44009,452.72,2.24,212
Albentosa,44010,68,3.77,213
Alcaine,44011,57.38,1.09,214
Alcalá de La Selva,44012,104.95,3.30,215
Alcañiz,44013,472.12,33.76,216
Alcorisa,44014,121,27.07,217
Alfambra,44016,122.44,4.33,218
Aliaga,44017,193.08,1.85,219
Almohaja,44018,25.55,0.62,220
Alobras,44019,30.72,2.01,221
AlpeñÃ©s,44020,28.62,0.76,222
Allepuz,44021,67.26,1.87,223
Alloza,44022,81,7.18,224
Allueva,44023,18.65,1.55,225
Anadón,44024,24.62,1.09,226
Andorra,44025,141.36,53.99,227
Arcos de Las Salinas,44026,112.99,0.92,228
Arens de Lledó,44027,34.27,6.01,229
Argente,44028,62.58,3.16,230
Ariño,44029,81.93,8.64,231
Azaila,44031,81.44,1.15,232
BÃ¡denas,44032,31.31,0.63,233
BÃ¡guena,44033,25.17,12.35,234
BañÃ³n,44034,54.27,2.81,235
Barrachina,44035,24.86,4.74,236
Bea,44036,23.37,1.32,237
Beceite,44037,96.72,5.59,238
Belmonte de San JosÃ©,44038,43.68,2.58,239
Bello,44039,52.49,4.28,240
Berge,44040,42.64,5.72,241
Bezas,44041,26.32,2.65,242
Blancas,44042,73,1.71,243
Blesa,44043,80.39,1.18,244
Bordón,44044,29.98,3.53,245
Bronchales,44045,59,7.50,246
Bueña,44046,40.75,1.54,247
Burbáguena,44047,39.02,6.22,248
Cabra de Mora,44048,34.31,1.60,249
Calaceite,44049,81.33,12.43,250
Calamocha,44050,316.63,13.64,251
Calanda,44051,112.25,33.03,252
Calomarde,44052,28.18,2.62,253
Camañas,44053,78.67,1.57,254
Camarena de La Sierra,44054,79.54,1.42,255
Camarillas,44055,50.55,1.70,256
Caminreal,44056,44.39,13.94,257
Cantavieja,44059,124.56,5.73,258
Cañada de Benatanduz,44060,34.89,1.11,259
La Cañada de Verich,44061,10.86,8.01,260
Cañada Vellida,44062,23,1.52,261
Cañizar del Olivar,44063,22.29,4.39,262
Cascante del Río,44064,32.38,2.19,263
Castejón de Tornos,44065,17.56,3.53,264
Castel de Cabra,44066,29.44,3.53,265
Castelnou,44067,37.09,4.31,266
Castelserás,44068,31.52,26.36,267
El Castellar,44070,50.33,1.03,268
Castellote,44071,235.18,2.87,269
Cedrillas,44074,73.57,8.56,270
