"municipio","densidad","superficie"
"Manzanera",3.07,168.66
"Martín del Río",7.59,54.88
"Mazaleón",6.24,86.25
"Mezquita de Jarque",3.14,31.14
"Mirambel",2.55,45.47
"Miravete de La Sierra",0.95,36.51
"Molinos",3.05,79.61
"Monforte de Moyuela",1.36,47.74
"Monroyo",4.29,79.23
"Monteagudo del Castillo",1.12,44.36
"Monterde de Albarracín",1.39,45.21
"Mora de Rubielos",9.27,166.23
"Moscardón",2.04,26.93
"Mosqueruela",2.07,265.03
"Muniesa",4.64,129
"Noguera de Albarracín",2.8,47.44
"Nogueras",1.32,18.85
"Nogueruelas",2.18,99.49
"ObÃ³n",0.65,68.38
"OdÃ³n",2.76,74.24
"Ojos Negros",4.14,90.92
"Oliete",4.25,85.48
"Los Olmos",2.77,43.97
"Orihuela del Tremedal",6.8,71.52
"Orrios",3.6,35
"Palomar de Arroyos",5.02,33.62
"Pancrudo",1.09,100.12
"Las Parras de Castellote",1.25,42.13
"Peñarroya de Tastavins",5.27,83.28
"Peracense",2.65,28.66
"Peralejos",2.44,36
"Perales del Alfambra",2.12,104.24
"Pitarque",1.45,54.35
"Plou",2.49,17.21
"El Pobo",1.8,63
"Pozondón",0.7,67.64
"Pozuel del Campo",2.44,27.85
"Puertomingalvo",1.08,103.62
"RÃ¡fales",4.01,35.61
"Rillo",1.74,53.31
"Riodeva",4.19,34.34
"Ródenas",1.37,44.26
"Royuela",6.43,32
"Rubiales",1.82,27.42
"Rubielos de La CÃ©rida",0.57,66
"Rubielos de Mora",9.5,66
"Salcedillo",1,16.89
"Saldón",0.91,28.37
"Samper de Calanda",5.51,142
"San Agustín",2.2,56.57
"Santa Cruz de Nogueras",1.89,19.51
"Sarrión",8.06,140.44
"Segura de Los Baños",0.72,54.15
"Seno",2.18,17.85
"Singra",2.17,36.72
"Terriente",3.81,47.98
"Toril y Masegoso",0.97,30.67
"Tormón",1.05,29.34
"Tornos",4.35,48.95
"Torralba de Los Sisones",3.86,40.39
"Torrecilla del Rebollar",4.74,26.76
"Torre de Arcas",2.59,34.28
"Torre de Las Arcas",0.75,37.17
"Torre del Compte",6.78,19.46
"Torrelacárcel",4.33,35.54
"Torre Los Negros",3.01,29.15
"Torremocha de Jiloca",3.15,33.94
"Torres de Albarracín",6.46,28.31
"Torrevelilla",5.65,33.44
"Torrijas",0.66,57.34
"Tramacastiel",1.35,47.29
"Tramacastilla",4.27,24.81
"Tronchón",1.13,57.11
"Valacloche",1.39,15.02
"Valbona",4.27,40.72
"Valdecuenca",1.87,18.64
"Valdelinares",1.57,55.09
