cp,name,population,2018,2017,2016,2015,2014,2013,2012,2011,
44192, Puebla de Valverde La,457,453,457,460,500,521,547,550,552
44193, Puertomingalvo,109,112,117,112,119,117,135,144,157
44194, Ráfales,138,143,146,138,133,142,138,159,165
44195, Rillo,88,93,92,92,97,106,109,111,112
44196, Riodeva,142,144,149,151,163,165,165,173,176
44197, Ródenas,63,61,62,64,66,75,78,79,71
44198, Royuela,204,206,209,215,221,227,230,247,251
44199, Rubiales,52,50,52,50,53,51,55,61,58
44200, Rubielos de la Cérida,39,38,38,39,41,41,43,43,43
44201, Rubielos de Mora,621,627,626,658,661,687,722,755,751
44203, Salcedillo,14,17,17,17,13,10,10,10,8
44204, Saldón,27,26,26,26,27,27,29,28,29
44205, Samper de Calanda,755,783,821,845,854,861,867,884,909
44206, San Agustín,119,125,131,132,141,141,151,177,201
44207, San Martín del Río,137,148,155,163,174,179,182,191,193
44208, Santa Cruz de Nogueras,29,37,38,40,39,42,38,39,40
44209, Santa Eulalia,1061,1037,1033,1059,1081,1111,1118,1122,1147
44210, Sarrión,1128,1133,1125,1125,1167,1152,1149,1129,1135
44211, Segura de los Baños,38,39,43,44,40,39,40,40,39
44212, Seno,43,39,40,41,43,42,43,45,46
44213, Singra,75,80,79,80,80,76,73,84,92
44215, Terriente,183,183,178,173,178,177,179,191,197
44216, Teruel,35890,35691,35484,35564,35590,35675,35961,35841,35288
44217, Toril y Masegoso,32,30,29,30,30,32,35,35,37
44218, Tormón,30,31,34,34,34,28,31,34,36
44219, Tornos,206,213,222,228,235,231,234,231,230
44220, Torralba de los Sisones,155,156,162,163,157,170,174,181,209
44223, Torre de Arcas,433,89,83,81,81,83,95,88,95
44224, Torre de las Arcas,124,28,28,29,29,28,31,30,35
44225, Torre del Compte,90,132,130,129,137,142,147,148,156
44227, Torre los Negros,28,88,86,87,90,94,91,98,103
44221, Torrecilla de Alcañiz,120,423,426,424,407,415,437,447,437
44222, Torrecilla del Rebollar,151,127,136,137,144,142,142,142,146
44226, Torrelacárcel,84,154,169,176,184,197,193,200,213
44228, Torremocha de Jiloca,109,107,107,110,110,126,125,128,135
44229, Torres de Albarracín,180,183,178,179,181,174,159,167,167
44230, Torrevelilla,186,189,192,203,200,208,211,199,216
44231, Torrijas,41,38,39,45,45,45,44,57,63
44232, Torrijo del Campo,455,447,447,462,489,509,496,506,518
44234, Tramacastiel,72,64,67,66,75,74,76,85,89
44235, Tramacastilla,103,106,107,108,107,120,114,125,118
44236, Tronchón,67,65,69,67,68,82,91,100,107
44237, Urrea de Gaén,435,436,461,475,488,494,491,516,527
44238, Utrillas,2978,2970,3014,3056,3110,3194,3268,3238,3270
44239, Valacloche,22,21,23,23,27,23,23,28,31
44240, Valbona,167,174,181,186,193,198,197,211,202
44241, Valdealgorfa,612,622,632,645,664,650,621,651,675
44243, Valdecuenca,34,35,37,34,40,40,44,56,53
44244, Valdelinares,88,87,89,90,85,90,100,106,113
44245, Valdeltormo,283,279,298,296,312,315,322,317,324
44246, Valderrobres,2425,2388,2338,2311,2342,2337,2310,2335,2303
44247, Valjunquera,330,325,341,363,358,365,383,386,387
44249, Vallecillo El,47,48,49,59,60,50,52,54,61
44250, Veguillas de la Sierra,19,20,19,19,22,23,22,20,25
44251, Villafranca del Campo,298,297,289,300,299,314,323,323,339
44252, Villahermosa del Campo,89,94,94,99,103,104,102,99,102
44256, Villanueva del Rebollar de la Sierra,39,47,43,49,51,52,46,47,52
44257, Villar del Cobo,164,164,175,188,189,190,192,202,205
44258, Villar del Salz,55,60,59,70,74,75,73,79,80
44260, Villarluengo,170,177,169,176,189,194,195,200,194
44261, Villarquemado,863,862,875,863,869,886,889,904,906
44262, Villarroya de los Pinares,172,160,155,160,163,160,164,163,172
44263, Villastar,505,494,501,503,526,522,498,480,448
44264, Villel,329,327,330,338,342,348,355,347,342
44265, Vinaceite,251,249,262,262,262,274,287,308,301
44266, Visiedo,119,125,135,138,133,137,141,145,148
44267, Vivel del Río Martín,73,79,71,78,83,78,81,86,91
44268, Zoma La,33,16,18,16,18,19,19,22,22
