year,name,cp,nacidos,defunciones,saldo
2017,Teruel,Argente (44028),1,8,-7
2017,Teruel,Ariño (44029),5,12,-7
2017,Teruel,Azaila (44031),2,7,-5
2017,Teruel,Barrachina (44035),0,3,-3
2017,Teruel,Bañón (44034),0,3,-3
2017,Teruel,Beceite (44037),0,8,-8
2017,Teruel,Bello (44039),1,10,-9
2017,Teruel,Belmonte de San José (44038),1,1,0
2017,Teruel,Blancas (44042),0,2,-2
2017,Teruel,Blesa (44043),1,2,-1
2017,Teruel,Bronchales (44045),3,5,-2
2017,Teruel,Bueña (44046),0,1,-1
2017,Teruel,Burbáguena (44047),1,4,-3
2017,Teruel,Báguena (44033),1,5,-4
2017,Teruel,Cabra de Mora (44048),0,2,-2
2017,Teruel,Calaceite (44049),5,21,-16
2017,Teruel,Calamocha (44050),30,53,-23
2017,Teruel,Calanda (44051),23,55,-32
2017,Teruel,Calomarde (44052),0,2,-2
2017,Teruel,Camarena de la Sierra (44054),1,1,0
2017,Teruel,Camarillas (44055),2,1,1
2017,Teruel,Camañas (44053),0,4,-4
2017,Teruel,Caminreal (44056),3,14,-11
2017,Teruel,Cantavieja (44059),5,4,1
2017,Teruel,Cascante del Río (44064),0,1,-1
2017,Teruel,Castejón de Tornos (44065),0,3,-3
2017,Teruel,Castel de Cabra (44066),0,3,-3
2017,Teruel,Castellote (44071),0,12,-12
2017,Teruel,Castelnou (44067),1,1,0
2017,Teruel,Castelserás (44068),11,14,-3
2017,Teruel,Cañada de Benatanduz (44060),0,1,-1
2017,Teruel,Cedrillas (44074),6,7,-1
2017,Teruel,Celadas (44075),0,10,-10
2017,Teruel,Cella (44076),18,41,-23
2017,Teruel,Codoñera (La) (44080),1,8,-7
2017,Teruel,Cortes de Aragón (44084),0,1,-1
2017,Teruel,Cosa (44085),0,1,-1
2017,Teruel,Cretas (44086),3,4,-1
2017,Teruel,Crivillén (44087),0,1,-1
2017,Teruel,Cubla (44089),0,1,-1
2017,Teruel,Cucalón (44090),0,3,-3
2017,Teruel,Cuervo (El) (44092),0,3,-3
2017,Teruel,Cuevas de Almudén (44093),2,,2
2017,Teruel,Cuevas Labradas (44094),0,2,-2
2017,Teruel,Ejulve (44096),1,5,-4
2017,Teruel,Escorihuela (44097),0,4,-4
2017,Teruel,Escucha (44099),9,9,0
2017,Teruel,Estercuel (44100),0,3,-3
2017,Teruel,Ferreruela de Huerva (44101),0,1,-1
2017,Teruel,Fonfría (44102),0,2,-2
2017,Teruel,Formiche Alto (44103),0,4,-4
2017,Teruel,Fortanete (44106),2,2,0
2017,Teruel,Foz-Calanda (44107),1,4,-3
2017,Teruel,Fresneda (La) (44108),1,9,-8
2017,Teruel,Frías de Albarracín (44109),0,5,-5
2017,Teruel,Fuenferrada (44110),0,1,-1
2017,Teruel,Fuentes Calientes (44111),0,2,-2
2017,Teruel,Fuentes Claras (44112),2,10,-8
2017,Teruel,Fuentes de Rubielos (44113),1,2,-1
2017,Teruel,Fuentespalda (44114),1,4,-3
2017,Teruel,Fórnoles (44105),1,,1
2017,Teruel,Galve (44115),1,1,0
2017,Teruel,Gargallo (44116),0,1,-1
2017,Teruel,Gea de Albarracín (44117),1,,1
2017,Teruel,Ginebrosa (La) (44118),0,2,-2
2017,Teruel,Griegos (44119),0,2,-2
2017,Teruel,Guadalaviar (44120),0,5,-5
2017,Teruel,Gúdar (44121),0,1,-1
2017,Teruel,Hinojosa de Jarque (44123),1,1,0
2017,Teruel,Hoz de la Vieja (La) (44124),0,1,-1
2017,Teruel,Huesa del Común (44125),0,1,-1
2017,Teruel,Híjar (44122),17,23,-6
2017,Teruel,Iglesuela del Cid (La) (44126),1,12,-11
2017,Teruel,Jabaloyas (44127),0,3,-3
2017,Teruel,Jarque de la Val (44128),0,2,-2
2017,Teruel,Josa (44131),0,1,-1
2017,Teruel,Lagueruela (44132),0,1,-1
2017,Teruel,Lanzuela (44133),1,,1
2017,Teruel,Libros (44135),0,3,-3
2017,Teruel,Linares de Mora (44137),2,3,-1
2017,Teruel,Lledó (44141),0,1,-1
2017,Teruel,Loscos (44138),0,5,-5
2017,Teruel,Manzanera (44143),1,7,-6
2017,Teruel,Martín del Río (44144),2,13,-11
2017,Teruel,Mas de las Matas (44145),6,24,-18
2017,Teruel,Mata de los Olmos (La) (44146),1,6,-5
2017,Teruel,Mazaleón (44147),7,8,-1
2017,Teruel,Mezquita de Jarque (44148),3,2,1
2017,Teruel,Mirambel (44149),2,,2
2017,Teruel,Molinos (44151),2,3,-1
2017,Teruel,Monforte de Moyuela (44152),0,1,-1
2017,Teruel,Monreal del Campo (44153),25,33,-8
2017,Teruel,Monroyo (44154),5,7,-2
2017,Teruel,Montalbán (44155),7,18,-11
2017,Teruel,Mora de Rubielos (44158),5,19,-14
2017,Teruel,Moscardón (44159),0,3,-3
2017,Teruel,Mosqueruela (44160),3,11,-8
2017,Teruel,Muniesa (44161),7,18,-11
2017,Teruel,Nogueras (44164),0,1,-1
2017,Teruel,Nogueruelas (44165),0,2,-2
2017,Teruel,Obón (44167),0,1,-1
2017,Teruel,Odón (44168),0,4,-4
2017,Teruel,Ojos Negros (44169),1,9,-8
2017,Teruel,Olba (44171),1,,1
2017,Teruel,Oliete (44172),4,4,0
2017,Teruel,Olmos (Los) (44173),1,2,-1
2017,Teruel,Orihuela del Tremedal (44174),3,5,-2
2017,Teruel,Orrios (44175),0,1,-1
2017,Teruel,Palomar de Arroyos (44176),2,2,0
2017,Teruel,Pancrudo (44177),0,1,-1
2017,Teruel,Parras de Castellote (Las) (44178),1,2,-1
2017,Teruel,Peracense (44180),0,2,-2
2017,Teruel,Peralejos (44181),0,1,-1
2017,Teruel,Perales del Alfambra (44182),0,7,-7
2017,Teruel,Peñarroya de Tastavins (44179),2,9,-7
2017,Teruel,Pitarque (44183),0,1,-1
2017,Teruel,Plou (44184),0,1,-1
2017,Teruel,Pobo (El) (44185),0,3,-3
2017,Teruel,Portellada (La) (44187),1,1,0
2017,Teruel,Pozondón (44189),0,4,-4
2017,Teruel,Pozuel del Campo (44190),0,1,-1
2017,Teruel,Puebla de Híjar (La) (44191),1,15,-14
2017,Teruel,Puebla de Valverde (La) (44192),1,8,-7
2017,Teruel,Puertomingalvo (44193),2,1,1
2017,Teruel,Rillo (44195),0,5,-5
2017,Teruel,Riodeva (44196),2,3,-1
2017,Teruel,Royuela (44198),0,3,-3
2017,Teruel,Rubiales (44199),1,,1
2017,Teruel,Rubielos de Mora (44201),7,10,-3
2017,Teruel,Ráfales (44194),0,3,-3
2017,Teruel,Ródenas (44197),0,4,-4
2017,Teruel,Salcedillo (44203),0,1,-1
2017,Teruel,Samper de Calanda (44205),6,17,-11
2017,Teruel,San Agustín (44206),0,2,-2
2017,Teruel,San Martín del Río (44207),0,5,-5
2017,Teruel,Santa Cruz de Nogueras (44208),1,2,-1
2017,Teruel,Santa Eulalia (44209),4,21,-17
2017,Teruel,Sarrión (44210),12,12,0
2017,Teruel,Segura de los Baños (44211),0,2,-2
2017,Teruel,Seno (44212),0,1,-1
2017,Teruel,Singra (44213),0,2,-2
2017,Teruel,Terriente (44215),0,3,-3
2017,Teruel,Teruel (44216),291,329,-38
2017,Teruel,Tornos (44219),0,2,-2
2017,Teruel,Torralba de los Sisones (44220),0,1,-1
2017,Teruel,Torre de Arcas (44223),0,2,-2
2017,Teruel,Torre del Compte (44225),1,3,-2
2017,Teruel,Torrecilla de Alcañiz (44221),1,4,-3
2017,Teruel,Torrelacárcel (44226),0,7,-7
2017,Teruel,Torremocha de Jiloca (44228),1,2,-1
2017,Teruel,Torres de Albarracín (44229),2,1,1
2017,Teruel,Torrevelilla (44230),1,1,0
2017,Teruel,Torrijas (44231),1,1,0
2017,Teruel,Torrijo del Campo (44232),5,9,-4
2017,Teruel,Tramacastiel (44234),0,2,-2
2017,Teruel,Tramacastilla (44235),0,2,-2
2017,Teruel,Tronchón (44236),0,3,-3
2017,Teruel,Urrea de Gaén (44237),2,11,-9
2017,Teruel,Utrillas (44238),25,33,-8
2017,Teruel,Valbona (44240),0,4,-4
2017,Teruel,Valdealgorfa (44241),3,9,-6
2017,Teruel,Valdecuenca (44243),1,,1
2017,Teruel,Valdelinares (44244),1,,1
2017,Teruel,Valdeltormo (44245),2,2,0
2017,Teruel,Valderrobres (44246),22,28,-6
2017,Teruel,Valjunquera (44247),1,5,-4
2017,Teruel,Vallecillo (El) (44249),0,1,-1
2017,Teruel,Veguillas de la Sierra (44250),0,1,-1
2017,Teruel,Villafranca del Campo (44251),1,5,-4
2017,Teruel,Villahermosa del Campo (44252),0,1,-1
2017,Teruel,Villanueva del Rebollar de la Sierra (44256),1,,1
2017,Teruel,Villar del Cobo (44257),0,3,-3
2017,Teruel,Villar del Salz (44258),0,2,-2
2017,Teruel,Villarluengo (44260),2,1,1
2017,Teruel,Villarquemado (44261),7,9,-2
2017,Teruel,Villarroya de los Pinares (44262),0,1,-1
2017,Teruel,Villastar (44263),5,8,-3
2017,Teruel,Villel (44264),1,9,-8
2017,Teruel,Vinaceite (44265),0,5,-5
2017,Teruel,Visiedo (44266),2,4,-2
2017,Zaragoza,Abanto (50001),0,3,-3
2017,Zaragoza,Acered (50002),0,4,-4
2017,Zaragoza,Aguarón (50004),4,15,-11
2017,Zaragoza,Aguilón (50005),1,2,-1
2017,Zaragoza,Agón (50003),1,7,-6
2017,Zaragoza,Ainzón (50006),6,26,-20
2017,Zaragoza,Alagón (50008),53,60,-7
2017,Zaragoza,Alarba (50009),0,4,-4
2017,Zaragoza,Albeta (50011),1,2,-1
2017,Zaragoza,Alcalá de Ebro (50013),0,4,-4
2017,Zaragoza,Alcalá de Moncayo (50014),0,4,-4
2017,Zaragoza,Alconchel de Ariza (50015),1,,1
2017,Zaragoza,Alfajarín (50017),22,26,-4
2017,Zaragoza,Alfamén (50018),11,13,-2
2017,Zaragoza,Alforque (50019),0,1,-1
2017,Zaragoza,Alhama de Aragón (50020),7,11,-4
2017,Zaragoza,Almolda (La) (50022),3,9,-6
2017,Zaragoza,Almonacid de la Cuba (50023),1,10,-9
2017,Zaragoza,Almonacid de la Sierra (50024),7,20,-13
2017,Zaragoza,Almunia de Doña Godina (La) (50025),81,94,-13
2017,Zaragoza,Alpartir (50026),2,5,-3
2017,Zaragoza,Ambel (50027),1,3,-2
2017,Zaragoza,Aniñón (50029),1,13,-12
2017,Zaragoza,Aranda de Moncayo (50031),0,3,-3
2017,Zaragoza,Ariza (50034),10,19,-9
2017,Zaragoza,Artieda (50035),0,1,-1
2017,Zaragoza,Arándiga (50032),1,6,-5
2017,Zaragoza,Asín (50036),0,2,-2
2017,Zaragoza,Atea (50037),2,4,-2
2017,Zaragoza,Ateca (50038),8,23,-15
2017,Zaragoza,Azuara (50039),3,6,-3
2017,Zaragoza,Añón de Moncayo (50030),1,4,-3
2017,Zaragoza,Bardallur (50044),2,7,-5
2017,Zaragoza,Belchite (50045),9,27,-18
2017,Zaragoza,Belmonte de Gracián (50046),1,8,-7
2017,Zaragoza,Biel (50901),0,5,-5
2017,Zaragoza,Bijuesca (50050),0,3,-3
2017,Zaragoza,Biota (50051),0,24,-24
2017,Zaragoza,Bisimbre (50052),0,2,-2
2017,Zaragoza,Boquiñeni (50053),4,16,-12
2017,Zaragoza,Bordalba (50054),0,1,-1
2017,Zaragoza,Borja (50055),37,66,-29
2017,Zaragoza,Botorrita (50056),4,5,-1
2017,Zaragoza,Brea de Aragón (50057),8,13,-5
2017,Zaragoza,Bubierca (50058),0,1,-1
2017,Zaragoza,Bujaraloz (50059),13,15,-2
2017,Zaragoza,Bulbuente (50060),1,4,-3
2017,Zaragoza,Bureta (50061),1,3,-2
2017,Zaragoza,Burgo de Ebro (El) (50062),16,21,-5
2017,Zaragoza,Bárboles (50043),0,2,-2
2017,Zaragoza,Cabañas de Ebro (50064),1,8,-7
2017,Zaragoza,Cadrete (50066),47,14,33
2017,Zaragoza,Calatayud (50067),126,227,-101
2017,Zaragoza,Calatorao (50068),24,39,-15
2017,Zaragoza,Calmarza (50070),0,1,-1
2017,Zaragoza,Campillo de Aragón (50071),0,3,-3
2017,Zaragoza,Carenas (50072),0,5,-5
2017,Zaragoza,Cariñena (50073),26,40,-14
2017,Zaragoza,Caspe (50074),114,102,12
2017,Zaragoza,Castejón de Alarba (50075),0,2,-2
2017,Zaragoza,Castejón de las Armas (50076),0,2,-2
2017,Zaragoza,Castejón de Valdejasa (50077),2,2,0
2017,Zaragoza,Castiliscar (50078),0,2,-2
2017,Zaragoza,Cervera de la Cañada (50079),0,5,-5
2017,Zaragoza,Cerveruela (50080),0,1,-1
2017,Zaragoza,Cetina (50081),1,8,-7
2017,Zaragoza,Chiprana (50092),3,4,-1
2017,Zaragoza,Chodes (50093),0,4,-4
2017,Zaragoza,Cimballa (50082),0,2,-2
2017,Zaragoza,Cinco Olivas (50083),0,2,-2
2017,Zaragoza,Clarés de Ribota (50084),0,2,-2
2017,Zaragoza,Codo (50085),0,3,-3
2017,Zaragoza,Codos (50086),0,2,-2
2017,Zaragoza,Contamina (50087),0,1,-1
2017,Zaragoza,Cosuenda (50088),1,5,-4
2017,Zaragoza,Cuarte de Huerva (50089),204,31,173
2017,Zaragoza,Cubel (50090),0,6,-6
2017,Zaragoza,Cuerlas (Las) (50091),0,2,-2
2017,Zaragoza,Daroca (50094),12,39,-27
2017,Zaragoza,Ejea de los Caballeros (50095),135,187,-52
2017,Zaragoza,Encinacorba (50098),1,4,-3
2017,Zaragoza,Erla (50100),0,3,-3
2017,Zaragoza,Escatrón (50101),4,18,-14
2017,Zaragoza,Fabara (50102),3,19,-16
2017,Zaragoza,Farlete (50104),1,3,-2
2017,Zaragoza,Fayos (Los) (50106),0,3,-3
2017,Zaragoza,Fayón (50105),6,9,-3
2017,Zaragoza,Figueruelas (50107),9,12,-3
2017,Zaragoza,Fombuena (50108),0,1,-1
2017,Zaragoza,Frago (El) (50109),0,2,-2
2017,Zaragoza,Frasno (El) (50110),1,5,-4
2017,Zaragoza,Fréscano (50111),2,4,-2
2017,Zaragoza,Fuendejalón (50113),7,7,0
2017,Zaragoza,Fuendetodos (50114),1,3,-2
2017,Zaragoza,Fuentes de Ebro (50115),41,45,-4
2017,Zaragoza,Fuentes de Jiloca (50116),1,6,-5
2017,Zaragoza,Gallocanta (50117),1,,1
2017,Zaragoza,Gallur (50118),23,36,-13
2017,Zaragoza,Gelsa (50119),8,26,-18
2017,Zaragoza,Gotor (50121),0,6,-6
2017,Zaragoza,Grisén (50123),5,10,-5
2017,Zaragoza,Herrera de los Navarros (50124),4,7,-3
2017,Zaragoza,Ibdes (50125),1,5,-4
2017,Zaragoza,Illueca (50126),8,34,-26
2017,Zaragoza,Isuerre (50128),0,1,-1
2017,Zaragoza,Jaraba (50129),0,9,-9
2017,Zaragoza,Jarque de Moncayo (50130),4,8,-4
2017,Zaragoza,Jaulín (50131),1,5,-4
2017,Zaragoza,Joyosa (La) (50132),12,8,4
2017,Zaragoza,Lagata (50133),0,2,-2
2017,Zaragoza,Langa del Castillo (50134),1,2,-1
2017,Zaragoza,Layana (50135),1,4,-3
2017,Zaragoza,Leciñena (50137),3,28,-25
2017,Zaragoza,Letux (50139),1,10,-9
2017,Zaragoza,Lituénigo (50141),2,2,0
2017,Zaragoza,Lobera de Onsella (50142),1,1,0
2017,Zaragoza,Longares (50143),2,16,-14
2017,Zaragoza,Lucena de Jalón (50146),1,3,-2
2017,Zaragoza,Luceni (50147),10,12,-2
2017,Zaragoza,Luesia (50148),0,6,-6
2017,Zaragoza,Lumpiaque (50150),11,12,-1
2017,Zaragoza,Luna (50151),3,19,-16
2017,Zaragoza,Lécera (50136),2,15,-13
2017,Zaragoza,Maella (50152),18,31,-13
2017,Zaragoza,Magallón (50153),6,20,-14
2017,Zaragoza,Mainar (50154),0,3,-3
2017,Zaragoza,Malanquilla (50155),0,1,-1
2017,Zaragoza,Maleján (50156),0,2,-2
2017,Zaragoza,Mallén (50160),22,38,-16
2017,Zaragoza,Maluenda (50159),1,13,-12
2017,Zaragoza,Malón (50157),3,10,-7
2017,Zaragoza,Manchones (50161),3,4,-1
2017,Zaragoza,Mara (50162),1,4,-3
2017,Zaragoza,María de Huerva (50163),73,27,46
2017,Zaragoza,Mediana de Aragón (50164),0,3,-3
2017,Zaragoza,Mequinenza (50165),7,31,-24
2017,Zaragoza,Mesones de Isuela (50166),1,1,0
2017,Zaragoza,Mezalocha (50167),0,5,-5
2017,Zaragoza,Miedes de Aragón (50169),3,5,-2
2017,Zaragoza,Monegrillo (50170),1,4,-3
2017,Zaragoza,Moneva (50171),0,1,-1
2017,Zaragoza,Monreal de Ariza (50172),1,2,-1
2017,Zaragoza,Monterde (50173),0,2,-2
2017,Zaragoza,Montón (50174),0,1,-1
2017,Zaragoza,Morata de Jalón (50175),3,25,-22
2017,Zaragoza,Morata de Jiloca (50176),2,3,-1
2017,Zaragoza,Moros (50178),0,9,-9
2017,Zaragoza,Morés (50177),0,7,-7
2017,Zaragoza,Moyuela (50179),0,9,-9
2017,Zaragoza,Mozota (50180),0,3,-3
2017,Zaragoza,Muel (50181),2,11,-9
2017,Zaragoza,Muela (La) (50182),60,25,35
2017,Zaragoza,Munébrega (50183),0,2,-2
2017,Zaragoza,Murero (50184),0,1,-1
2017,Zaragoza,Murillo de Gállego (50185),0,,0
2017,Zaragoza,Nigüella (50187),0,2,-2
