Sexo,Municipios,Edad (año a año),Periodo,Total
Total,22007 Albalate de Cinca,20 años,2017,6
Total,22007 Albalate de Cinca,21 años,2017,7
Total,22007 Albalate de Cinca,22 años,2017,12
Total,22007 Albalate de Cinca,23 años,2017,16
Total,22007 Albalate de Cinca,24 años,2017,12
Total,22007 Albalate de Cinca,25 años,2017,12
Total,22007 Albalate de Cinca,26 años,2017,10
Total,22007 Albalate de Cinca,27 años,2017,12
Total,22007 Albalate de Cinca,28 años,2017,17
Total,22007 Albalate de Cinca,29 años,2017,15
Total,22007 Albalate de Cinca,30 años,2017,13
Total,22007 Albalate de Cinca,31 años,2017,12
Total,22007 Albalate de Cinca,32 años,2017,12
Total,22007 Albalate de Cinca,33 años,2017,14
Total,22007 Albalate de Cinca,34 años,2017,14
Total,22007 Albalate de Cinca,35 años,2017,13
Total,22007 Albalate de Cinca,36 años,2017,13
Total,22007 Albalate de Cinca,37 años,2017,15
Total,22007 Albalate de Cinca,38 años,2017,22
Total,22007 Albalate de Cinca,39 años,2017,7
Total,22007 Albalate de Cinca,40 años,2017,14
Total,22008 Albalatillo,19 años,2017,0
Total,22008 Albalatillo,20 años,2017,0
Total,22008 Albalatillo,21 años,2017,0
Total,22008 Albalatillo,22 años,2017,1
Total,22008 Albalatillo,23 años,2017,1
Total,22008 Albalatillo,24 años,2017,1
Total,22008 Albalatillo,25 años,2017,0
Total,22008 Albalatillo,26 años,2017,1
Total,22008 Albalatillo,27 años,2017,1
Total,22008 Albalatillo,28 años,2017,0
Total,22008 Albalatillo,29 años,2017,1
Total,22008 Albalatillo,30 años,2017,1
Total,22008 Albalatillo,31 años,2017,1
Total,22008 Albalatillo,32 años,2017,0
Total,22008 Albalatillo,33 años,2017,1
Total,22008 Albalatillo,34 años,2017,4
Total,22008 Albalatillo,35 años,2017,1
Total,22008 Albalatillo,36 años,2017,2
Total,22008 Albalatillo,37 años,2017,4
Total,22008 Albalatillo,38 años,2017,3
Total,22008 Albalatillo,39 años,2017,3
Total,22008 Albalatillo,40 años,2017,3
Total,22009 Albelda,19 años,2017,6
Total,22009 Albelda,20 años,2017,5
Total,22009 Albelda,21 años,2017,2
Total,22009 Albelda,22 años,2017,6
Total,22009 Albelda,23 años,2017,4
Total,22009 Albelda,24 años,2017,2
Total,22009 Albelda,25 años,2017,5
Total,22009 Albelda,26 años,2017,4
Total,22009 Albelda,27 años,2017,4
Total,22009 Albelda,28 años,2017,8
Total,22009 Albelda,29 años,2017,5
Total,22009 Albelda,30 años,2017,6
Total,22009 Albelda,31 años,2017,8
Total,22009 Albelda,32 años,2017,4
Total,22009 Albelda,33 años,2017,7
Total,22009 Albelda,34 años,2017,5
Total,22009 Albelda,35 años,2017,9
Total,22009 Albelda,36 años,2017,7
Total,22009 Albelda,37 años,2017,3
Total,22009 Albelda,38 años,2017,4
Total,22009 Albelda,39 años,2017,9
Total,22009 Albelda,40 años,2017,8
Total,22011 Albero Alto,19 años,2017,0
Total,22011 Albero Alto,20 años,2017,0
Total,22011 Albero Alto,21 años,2017,2
Total,22011 Albero Alto,22 años,2017,1
Total,22011 Albero Alto,23 años,2017,2
Total,22011 Albero Alto,24 años,2017,0
Total,22011 Albero Alto,25 años,2017,1
Total,22011 Albero Alto,26 años,2017,1
Total,22011 Albero Alto,27 años,2017,0
Total,22011 Albero Alto,28 años,2017,1
Total,22011 Albero Alto,29 años,2017,1
Total,22011 Albero Alto,30 años,2017,0
Total,22011 Albero Alto,31 años,2017,3
Total,22011 Albero Alto,32 años,2017,0
Total,22011 Albero Alto,33 años,2017,1
Total,22011 Albero Alto,34 años,2017,2
Total,22011 Albero Alto,35 años,2017,1
Total,22011 Albero Alto,36 años,2017,2
Total,22011 Albero Alto,37 años,2017,0
Total,22011 Albero Alto,38 años,2017,1
Total,22011 Albero Alto,39 años,2017,0
Total,22011 Albero Alto,40 años,2017,4
Total,22012 Albero Bajo,19 años,2017,0
Total,22012 Albero Bajo,20 años,2017,2
Total,22012 Albero Bajo,21 años,2017,0
Total,22012 Albero Bajo,22 años,2017,0
Total,22012 Albero Bajo,23 años,2017,1
Total,22012 Albero Bajo,24 años,2017,0
Total,22012 Albero Bajo,25 años,2017,1
Total,22012 Albero Bajo,26 años,2017,2
Total,22012 Albero Bajo,27 años,2017,0
Total,22012 Albero Bajo,28 años,2017,3
Total,22012 Albero Bajo,29 años,2017,1
Total,22012 Albero Bajo,30 años,2017,0
Total,22012 Albero Bajo,31 años,2017,1
Total,22012 Albero Bajo,32 años,2017,0
Total,22012 Albero Bajo,33 años,2017,2
Total,22012 Albero Bajo,34 años,2017,2
Total,22012 Albero Bajo,35 años,2017,2
Total,22012 Albero Bajo,36 años,2017,1
Total,22012 Albero Bajo,37 años,2017,2
Total,22012 Albero Bajo,38 años,2017,3
Total,22012 Albero Bajo,39 años,2017,2
Total,22012 Albero Bajo,40 años,2017,1
Total,22013 Alberuela de Tubo,19 años,2017,4
Total,22013 Alberuela de Tubo,20 años,2017,3
Total,22013 Alberuela de Tubo,21 años,2017,3
Total,22013 Alberuela de Tubo,22 años,2017,4
Total,22013 Alberuela de Tubo,23 años,2017,5
Total,22013 Alberuela de Tubo,24 años,2017,4
Total,22013 Alberuela de Tubo,25 años,2017,1
Total,22013 Alberuela de Tubo,26 años,2017,3
Total,22013 Alberuela de Tubo,27 años,2017,6
Total,22013 Alberuela de Tubo,28 años,2017,6
Total,22013 Alberuela de Tubo,29 años,2017,8
Total,22013 Alberuela de Tubo,30 años,2017,4
Total,22013 Alberuela de Tubo,31 años,2017,6
Total,22013 Alberuela de Tubo,32 años,2017,2
Total,22013 Alberuela de Tubo,33 años,2017,3
Total,22013 Alberuela de Tubo,34 años,2017,2
Total,22013 Alberuela de Tubo,35 años,2017,4
Total,22013 Alberuela de Tubo,36 años,2017,2
Total,22013 Alberuela de Tubo,37 años,2017,1
Total,22013 Alberuela de Tubo,38 años,2017,8
Total,22013 Alberuela de Tubo,39 años,2017,3
Total,22013 Alberuela de Tubo,40 años,2017,2
Total,22014 Alcalá de Gurrea,19 años,2017,0
Total,22014 Alcalá de Gurrea,20 años,2017,1
Total,22014 Alcalá de Gurrea,21 años,2017,0
Total,22014 Alcalá de Gurrea,22 años,2017,1
Total,22014 Alcalá de Gurrea,23 años,2017,1
Total,22014 Alcalá de Gurrea,24 años,2017,4
Total,22014 Alcalá de Gurrea,25 años,2017,1
Total,22014 Alcalá de Gurrea,26 años,2017,0
Total,22014 Alcalá de Gurrea,27 años,2017,0
Total,22014 Alcalá de Gurrea,28 años,2017,4
Total,22014 Alcalá de Gurrea,29 años,2017,0
Total,22014 Alcalá de Gurrea,30 años,2017,6
Total,22014 Alcalá de Gurrea,31 años,2017,2
Total,22014 Alcalá de Gurrea,32 años,2017,3
Total,22014 Alcalá de Gurrea,33 años,2017,6
Total,22014 Alcalá de Gurrea,34 años,2017,2
Total,22014 Alcalá de Gurrea,35 años,2017,1
Total,22014 Alcalá de Gurrea,36 años,2017,4
Total,22014 Alcalá de Gurrea,37 años,2017,1
Total,22014 Alcalá de Gurrea,38 años,2017,1
Total,22014 Alcalá de Gurrea,39 años,2017,5
Total,22014 Alcalá de Gurrea,40 años,2017,5
Total,22015 Alcalá del Obispo,19 años,2017,1
Total,22015 Alcalá del Obispo,20 años,2017,1
Total,22015 Alcalá del Obispo,21 años,2017,3
Total,22015 Alcalá del Obispo,22 años,2017,2
Total,22015 Alcalá del Obispo,23 años,2017,1
Total,22015 Alcalá del Obispo,24 años,2017,3
Total,22015 Alcalá del Obispo,25 años,2017,4
Total,22015 Alcalá del Obispo,26 años,2017,1
Total,22015 Alcalá del Obispo,27 años,2017,5
Total,22015 Alcalá del Obispo,28 años,2017,4
Total,22015 Alcalá del Obispo,29 años,2017,3
Total,22015 Alcalá del Obispo,30 años,2017,4
Total,22015 Alcalá del Obispo,31 años,2017,6
Total,22015 Alcalá del Obispo,32 años,2017,1
Total,22015 Alcalá del Obispo,33 años,2017,2
Total,22015 Alcalá del Obispo,34 años,2017,4
Total,22015 Alcalá del Obispo,35 años,2017,5
Total,22015 Alcalá del Obispo,36 años,2017,4
Total,22015 Alcalá del Obispo,37 años,2017,4
Total,22015 Alcalá del Obispo,38 años,2017,2
Total,22015 Alcalá del Obispo,39 años,2017,3
Total,22015 Alcalá del Obispo,40 años,2017,8
Total,22016 Alcampell,19 años,2017,4
Total,22016 Alcampell,20 años,2017,9
Total,22016 Alcampell,21 años,2017,1
Total,22016 Alcampell,22 años,2017,5
Total,22016 Alcampell,23 años,2017,10
Total,22016 Alcampell,24 años,2017,2
Total,22016 Alcampell,25 años,2017,6
Total,22016 Alcampell,26 años,2017,6
Total,22016 Alcampell,27 años,2017,4
Total,22016 Alcampell,28 años,2017,4
Total,22016 Alcampell,29 años,2017,8
Total,22016 Alcampell,30 años,2017,1
Total,22016 Alcampell,31 años,2017,4
Total,22016 Alcampell,32 años,2017,6
Total,22016 Alcampell,33 años,2017,7
Total,22016 Alcampell,34 años,2017,0
Total,22016 Alcampell,35 años,2017,6
Total,22016 Alcampell,36 años,2017,5
Total,22016 Alcampell,37 años,2017,10
Total,22016 Alcampell,38 años,2017,7
Total,22016 Alcampell,39 años,2017,6
Total,22016 Alcampell,40 años,2017,7
Total,22017 Alcolea de Cinca,19 años,2017,10
Total,22017 Alcolea de Cinca,20 años,2017,10
Total,22017 Alcolea de Cinca,21 años,2017,11
Total,22017 Alcolea de Cinca,22 años,2017,10
Total,22017 Alcolea de Cinca,23 años,2017,21
Total,22017 Alcolea de Cinca,24 años,2017,12
Total,22017 Alcolea de Cinca,25 años,2017,15
Total,22017 Alcolea de Cinca,26 años,2017,9
Total,22017 Alcolea de Cinca,27 años,2017,7
Total,22017 Alcolea de Cinca,28 años,2017,11
Total,22017 Alcolea de Cinca,29 años,2017,8
Total,22017 Alcolea de Cinca,30 años,2017,17
Total,22017 Alcolea de Cinca,31 años,2017,14
Total,22017 Alcolea de Cinca,32 años,2017,13
Total,22017 Alcolea de Cinca,33 años,2017,15
Total,22017 Alcolea de Cinca,34 años,2017,18
Total,22017 Alcolea de Cinca,35 años,2017,15
Total,22017 Alcolea de Cinca,36 años,2017,23
Total,22017 Alcolea de Cinca,37 años,2017,16
Total,22017 Alcolea de Cinca,38 años,2017,23
Total,22017 Alcolea de Cinca,39 años,2017,9
Total,22017 Alcolea de Cinca,40 años,2017,13
Total,22018 Alcubierre,19 años,2017,1
Total,22018 Alcubierre,20 años,2017,1
Total,22018 Alcubierre,21 años,2017,7
Total,22018 Alcubierre,22 años,2017,5
Total,22018 Alcubierre,23 años,2017,2
Total,22018 Alcubierre,24 años,2017,1
Total,22018 Alcubierre,25 años,2017,4
Total,22018 Alcubierre,26 años,2017,1
Total,22018 Alcubierre,27 años,2017,3
Total,22018 Alcubierre,28 años,2017,2
Total,22018 Alcubierre,29 años,2017,9
Total,22018 Alcubierre,30 años,2017,1
Total,22018 Alcubierre,31 años,2017,4
Total,22018 Alcubierre,32 años,2017,5
Total,22018 Alcubierre,33 años,2017,4
Total,22018 Alcubierre,34 años,2017,3
Total,22018 Alcubierre,35 años,2017,5
Total,22018 Alcubierre,36 años,2017,4
Total,22018 Alcubierre,37 años,2017,7
Total,22018 Alcubierre,38 años,2017,5
Total,22018 Alcubierre,39 años,2017,3
Total,22018 Alcubierre,40 años,2017,6
Total,22019 Alerre,19 años,2017,2
Total,22019 Alerre,20 años,2017,0
Total,22019 Alerre,21 años,2017,2
Total,22019 Alerre,22 años,2017,2
Total,22019 Alerre,23 años,2017,1
Total,22019 Alerre,24 años,2017,0
Total,22019 Alerre,25 años,2017,4
Total,22019 Alerre,26 años,2017,1
Total,22019 Alerre,27 años,2017,2
Total,22019 Alerre,28 años,2017,1
Total,22019 Alerre,29 años,2017,3
Total,22019 Alerre,30 años,2017,3
Total,22019 Alerre,31 años,2017,2
Total,22019 Alerre,32 años,2017,0
Total,22019 Alerre,33 años,2017,1
Total,22019 Alerre,34 años,2017,3
Total,22019 Alerre,35 años,2017,1
Total,22019 Alerre,36 años,2017,4
Total,22019 Alerre,37 años,2017,3
Total,22019 Alerre,38 años,2017,1
Total,22019 Alerre,39 años,2017,4
Total,22019 Alerre,40 años,2017,0
Total,22020 Alfántega,19 años,2017,2
Total,22020 Alfántega,20 años,2017,1
Total,22020 Alfántega,21 años,2017,0
Total,22020 Alfántega,22 años,2017,0
Total,22020 Alfántega,23 años,2017,0
Total,22020 Alfántega,24 años,2017,5
Total,22020 Alfántega,25 años,2017,2
Total,22020 Alfántega,26 años,2017,0
Total,22020 Alfántega,27 años,2017,2
Total,22020 Alfántega,28 años,2017,4
Total,22020 Alfántega,29 años,2017,1
Total,22020 Alfántega,30 años,2017,1
Total,22020 Alfántega,31 años,2017,0
Total,22020 Alfántega,32 años,2017,1
Total,22020 Alfántega,33 años,2017,3
Total,22020 Alfántega,34 años,2017,1
Total,22020 Alfántega,35 años,2017,2
Total,22020 Alfántega,36 años,2017,1
Total,22020 Alfántega,37 años,2017,2
Total,22020 Alfántega,38 años,2017,2
Total,22020 Alfántega,39 años,2017,2
Total,22020 Alfántega,40 años,2017,2
Total,22021 Almudévar,19 años,2017,7
Total,22021 Almudévar,20 años,2017,20
Total,22021 Almudévar,21 años,2017,21
Total,22021 Almudévar,22 años,2017,13
Total,22021 Almudévar,23 años,2017,23
Total,22021 Almudévar,24 años,2017,16
Total,22021 Almudévar,25 años,2017,24
Total,22021 Almudévar,26 años,2017,19
Total,22021 Almudévar,27 años,2017,17
Total,22021 Almudévar,28 años,2017,22
Total,22021 Almudévar,29 años,2017,16
Total,22021 Almudévar,30 años,2017,38
Total,22021 Almudévar,31 años,2017,28
Total,22021 Almudévar,32 años,2017,26
Total,22021 Almudévar,33 años,2017,30
Total,22021 Almudévar,34 años,2017,33
Total,22021 Almudévar,35 años,2017,29
Total,22021 Almudévar,36 años,2017,44
Total,22021 Almudévar,37 años,2017,45
Total,22021 Almudévar,38 años,2017,44
Total,22021 Almudévar,39 años,2017,40
Total,22021 Almudévar,40 años,2017,35
Total,22022 Almunia de San Juan,19 años,2017,7
Total,22022 Almunia de San Juan,20 años,2017,3
Total,22022 Almunia de San Juan,21 años,2017,5
Total,22022 Almunia de San Juan,22 años,2017,8
Total,22022 Almunia de San Juan,23 años,2017,7
Total,22022 Almunia de San Juan,24 años,2017,2
Total,22022 Almunia de San Juan,25 años,2017,5
Total,22022 Almunia de San Juan,26 años,2017,7
Total,22022 Almunia de San Juan,27 años,2017,5
Total,22022 Almunia de San Juan,28 años,2017,7
Total,22022 Almunia de San Juan,29 años,2017,7
Total,22022 Almunia de San Juan,30 años,2017,7
Total,22022 Almunia de San Juan,31 años,2017,7
Total,22022 Almunia de San Juan,32 años,2017,6
Total,22022 Almunia de San Juan,33 años,2017,8
Total,22022 Almunia de San Juan,34 años,2017,12
Total,22022 Almunia de San Juan,35 años,2017,11
Total,22022 Almunia de San Juan,36 años,2017,9
Total,22022 Almunia de San Juan,37 años,2017,4
Total,22022 Almunia de San Juan,38 años,2017,13
Total,22022 Almunia de San Juan,39 años,2017,16
Total,22022 Almunia de San Juan,40 años,2017,8
Total,22023 Almuniente,19 años,2017,2
Total,22023 Almuniente,20 años,2017,1
Total,22023 Almuniente,21 años,2017,5
Total,22023 Almuniente,22 años,2017,4
Total,22023 Almuniente,23 años,2017,3
Total,22023 Almuniente,24 años,2017,2
Total,22023 Almuniente,25 años,2017,4
Total,22023 Almuniente,26 años,2017,5
Total,22023 Almuniente,27 años,2017,6
Total,22023 Almuniente,28 años,2017,3
Total,22023 Almuniente,29 años,2017,2
Total,22023 Almuniente,30 años,2017,5
Total,22023 Almuniente,31 años,2017,7
Total,22023 Almuniente,32 años,2017,6
Total,22023 Almuniente,33 años,2017,6
Total,22023 Almuniente,34 años,2017,4
Total,22023 Almuniente,35 años,2017,4
Total,22023 Almuniente,36 años,2017,6
Total,22023 Almuniente,37 años,2017,5
Total,22023 Almuniente,38 años,2017,18
Total,22023 Almuniente,39 años,2017,9
Total,22023 Almuniente,40 años,2017,11
Total,22024 Alquézar,19 años,2017,2
Total,22024 Alquézar,20 años,2017,2
Total,22024 Alquézar,21 años,2017,5
Total,22024 Alquézar,22 años,2017,2
Total,22024 Alquézar,23 años,2017,1
Total,22024 Alquézar,24 años,2017,4
Total,22024 Alquézar,25 años,2017,3
Total,22024 Alquézar,26 años,2017,3
Total,22024 Alquézar,27 años,2017,3
Total,22024 Alquézar,28 años,2017,6
Total,22024 Alquézar,29 años,2017,3
Total,22024 Alquézar,30 años,2017,4
Total,22024 Alquézar,31 años,2017,4
Total,22024 Alquézar,32 años,2017,3
Total,22024 Alquézar,33 años,2017,2
Total,22024 Alquézar,34 años,2017,4
Total,22024 Alquézar,35 años,2017,4
Total,22024 Alquézar,36 años,2017,4
Total,22024 Alquézar,37 años,2017,6
Total,22024 Alquézar,38 años,2017,2
Total,22024 Alquézar,39 años,2017,5
Total,22024 Alquézar,40 años,2017,3
Total,22025 Altorricón,19 años,2017,11
Total,22025 Altorricón,20 años,2017,15
Total,22025 Altorricón,21 años,2017,9
Total,22025 Altorricón,22 años,2017,14
Total,22025 Altorricón,23 años,2017,17
Total,22025 Altorricón,24 años,2017,12
Total,22025 Altorricón,25 años,2017,12
Total,22025 Altorricón,26 años,2017,13
Total,22025 Altorricón,27 años,2017,15
Total,22025 Altorricón,28 años,2017,6
Total,22025 Altorricón,29 años,2017,11
Total,22025 Altorricón,30 años,2017,10
Total,22025 Altorricón,31 años,2017,17
Total,22025 Altorricón,32 años,2017,18
Total,22025 Altorricón,33 años,2017,20
Total,22025 Altorricón,34 años,2017,17
Total,22025 Altorricón,35 años,2017,23
Total,22025 Altorricón,36 años,2017,25
Total,22025 Altorricón,37 años,2017,20
Total,22025 Altorricón,38 años,2017,26
Total,22025 Altorricón,39 años,2017,22
Total,22025 Altorricón,40 años,2017,31
Total,22027 Angüés,19 años,2017,1
Total,22027 Angüés,20 años,2017,4
Total,22027 Angüés,21 años,2017,4
Total,22027 Angüés,22 años,2017,2
Total,22027 Angüés,23 años,2017,1
Total,22027 Angüés,24 años,2017,1
Total,22027 Angüés,25 años,2017,1
Total,22027 Angüés,26 años,2017,4
Total,22027 Angüés,27 años,2017,6
Total,22027 Angüés,28 años,2017,4
Total,22027 Angüés,29 años,2017,2
Total,22027 Angüés,30 años,2017,3
Total,22027 Angüés,31 años,2017,0
Total,22027 Angüés,32 años,2017,4
Total,22027 Angüés,33 años,2017,1
Total,22027 Angüés,34 años,2017,2
Total,22027 Angüés,35 años,2017,3
Total,22027 Angüés,36 años,2017,8
Total,22027 Angüés,37 años,2017,6
Total,22027 Angüés,38 años,2017,10
Total,22027 Angüés,39 años,2017,6
Total,22027 Angüés,40 años,2017,7
Total,22028 Ansó,19 años,2017,2
Total,22028 Ansó,20 años,2017,4
Total,22028 Ansó,21 años,2017,3
Total,22028 Ansó,22 años,2017,3
Total,22028 Ansó,23 años,2017,2
Total,22028 Ansó,24 años,2017,5
Total,22028 Ansó,25 años,2017,1
Total,22028 Ansó,26 años,2017,4
Total,22028 Ansó,27 años,2017,2
Total,22028 Ansó,28 años,2017,3
Total,22028 Ansó,29 años,2017,7
Total,22028 Ansó,30 años,2017,2
Total,22028 Ansó,31 años,2017,2
Total,22028 Ansó,32 años,2017,2
Total,22028 Ansó,33 años,2017,1
Total,22028 Ansó,34 años,2017,2
Total,22028 Ansó,35 años,2017,3
Total,22028 Ansó,36 años,2017,6
Total,22028 Ansó,37 años,2017,5
Total,22028 Ansó,38 años,2017,7
Total,22028 Ansó,39 años,2017,6
Total,22028 Ansó,40 años,2017,8
Total,22029 Antillón,19 años,2017,0
Total,22029 Antillón,20 años,2017,0
Total,22029 Antillón,21 años,2017,1
Total,22029 Antillón,22 años,2017,1
Total,22029 Antillón,23 años,2017,3
Total,22029 Antillón,24 años,2017,1
Total,22029 Antillón,25 años,2017,3
Total,22029 Antillón,26 años,2017,0
Total,22029 Antillón,27 años,2017,0
Total,22029 Antillón,28 años,2017,2
Total,22029 Antillón,29 años,2017,4
Total,22029 Antillón,30 años,2017,1
Total,22029 Antillón,31 años,2017,2
Total,22029 Antillón,32 años,2017,1
Total,22029 Antillón,33 años,2017,2
Total,22029 Antillón,34 años,2017,0
Total,22029 Antillón,35 años,2017,2
Total,22029 Antillón,36 años,2017,2
Total,22029 Antillón,37 años,2017,1
Total,22029 Antillón,38 años,2017,4
Total,22029 Antillón,39 años,2017,4
Total,22029 Antillón,40 años,2017,1
Total,22032 Aragüés del Puerto,19 años,2017,1
Total,22032 Aragüés del Puerto,20 años,2017,0
Total,22032 Aragüés del Puerto,21 años,2017,1
Total,22032 Aragüés del Puerto,22 años,2017,1
Total,22032 Aragüés del Puerto,23 años,2017,0
Total,22032 Aragüés del Puerto,24 años,2017,0
Total,22032 Aragüés del Puerto,25 años,2017,0
Total,22032 Aragüés del Puerto,26 años,2017,0
Total,22032 Aragüés del Puerto,27 años,2017,1
Total,22032 Aragüés del Puerto,28 años,2017,2
Total,22032 Aragüés del Puerto,29 años,2017,2
Total,22032 Aragüés del Puerto,30 años,2017,1
Total,22032 Aragüés del Puerto,31 años,2017,0
Total,22032 Aragüés del Puerto,32 años,2017,0
Total,22032 Aragüés del Puerto,33 años,2017,2
Total,22032 Aragüés del Puerto,34 años,2017,2
Total,22032 Aragüés del Puerto,35 años,2017,4
Total,22032 Aragüés del Puerto,36 años,2017,3
Total,22032 Aragüés del Puerto,37 años,2017,1
Total,22032 Aragüés del Puerto,38 años,2017,0
Total,22032 Aragüés del Puerto,39 años,2017,1
Total,22032 Aragüés del Puerto,40 años,2017,3
Total,22035 Arén,19 años,2017,4
Total,22035 Arén,20 años,2017,4
Total,22035 Arén,21 años,2017,3
Total,22035 Arén,22 años,2017,2
Total,22035 Arén,23 años,2017,3
Total,22035 Arén,24 años,2017,4
