Sexo,Municipios,Edad (año a año),Periodo,Total
Total,22017 Alcolea de Cinca,65 años,2017,13
Total,22018 Alcubierre,41 años,2017,5
Total,22018 Alcubierre,42 años,2017,5
Total,22018 Alcubierre,43 años,2017,6
Total,22018 Alcubierre,44 años,2017,4
Total,22018 Alcubierre,45 años,2017,6
Total,22018 Alcubierre,46 años,2017,7
Total,22018 Alcubierre,47 años,2017,7
Total,22018 Alcubierre,48 años,2017,6
Total,22018 Alcubierre,49 años,2017,6
Total,22018 Alcubierre,50 años,2017,5
Total,22018 Alcubierre,51 años,2017,3
Total,22018 Alcubierre,52 años,2017,5
Total,22018 Alcubierre,53 años,2017,4
Total,22018 Alcubierre,54 años,2017,3
Total,22018 Alcubierre,55 años,2017,4
Total,22018 Alcubierre,56 años,2017,6
Total,22018 Alcubierre,57 años,2017,7
Total,22018 Alcubierre,58 años,2017,6
Total,22018 Alcubierre,59 años,2017,8
Total,22018 Alcubierre,60 años,2017,2
Total,22018 Alcubierre,61 años,2017,6
Total,22018 Alcubierre,62 años,2017,5
Total,22018 Alcubierre,63 años,2017,3
Total,22018 Alcubierre,64 años,2017,6
Total,22018 Alcubierre,65 años,2017,5
Total,22019 Alerre,41 años,2017,3
Total,22019 Alerre,42 años,2017,3
Total,22019 Alerre,43 años,2017,0
Total,22019 Alerre,44 años,2017,1
Total,22019 Alerre,45 años,2017,3
Total,22019 Alerre,46 años,2017,3
Total,22019 Alerre,47 años,2017,2
Total,22019 Alerre,48 años,2017,5
Total,22019 Alerre,49 años,2017,2
Total,22019 Alerre,50 años,2017,4
Total,22019 Alerre,51 años,2017,0
Total,22019 Alerre,52 años,2017,4
Total,22019 Alerre,53 años,2017,4
Total,22019 Alerre,54 años,2017,3
Total,22019 Alerre,55 años,2017,2
Total,22019 Alerre,56 años,2017,2
Total,22019 Alerre,57 años,2017,3
Total,22019 Alerre,58 años,2017,7
Total,22019 Alerre,59 años,2017,4
Total,22019 Alerre,60 años,2017,7
Total,22019 Alerre,61 años,2017,3
Total,22019 Alerre,62 años,2017,5
Total,22019 Alerre,63 años,2017,3
Total,22019 Alerre,64 años,2017,6
Total,22019 Alerre,65 años,2017,6
Total,22020 Alfántega,41 años,2017,1
Total,22020 Alfántega,42 años,2017,2
